ID,CHOICE,AGE,GA,PURPOSE,WHO,LUGGAGE,INCOME,TRAIN_AV,SM_AV,CAR_AV,TRAIN_TT,SM_TT,CAR_TT,TRAIN_CO,SM_CO,CAR_CO,TRAIN_HE,SM_HE
5,2,2,0,1,1,1,3,1,1,0,269,216,0,70,72,0,120,20
5,2,2,0,1,1,1,3,1,1,0,243,213,0,70,70,0,30,10
5,2,2,0,1,1,1,3,1,1,0,320,220,0,70,74,0,60,30
5,2,2,0,1,1,1,3,1,1,0,243,216,0,58,66,0,30,20
5,2,2,0,1,1,1,3,1,1,0,320,216,0,52,57,0,60,20
5,2,2,0,1,1,1,3,1,1,0,269,213,0,52,62,0,120,10
5,2,2,0,1,1,1,3,1,1,0,243,220,0,70,74,0,120,10
5,2,2,0,1,1,1,3,1,1,0,243,220,0,52,57,0,30,30
5,2,2,0,1,1,1,3,1,1,0,320,213,0,58,64,0,60,10
6,2,3,0,1,1,1,3,1,1,1,116,46,70,35,38,35,120,30
6,2,3,0,1,1,1,3,1,1,1,95,49,91,26,29,28,120,30
6,2,3,0,1,1,1,3,1,1,1,116,53,56,26,32,28,120,20
6,2,3,0,1,1,1,3,1,1,1,102,53,91,26,32,45,60,10
6,2,3,0,1,1,1,3,1,1,1,102,53,56,29,32,45,120,30
6,2,3,0,1,1,1,3,1,1,1,95,53,91,29,32,35,60,20
6,2,3,0,1,1,1,3,1,1,1,95,49,70,35,40,28,60,10
6,2,3,0,1,1,1,3,1,1,1,95,46,70,29,35,45,120,20
6,2,3,0,1,1,1,3,1,1,1,102,53,70,35,46,45,30,20
7,2,3,0,1,1,1,1,1,1,1,87,32,117,42,49,140,120,20
7,2,3,0,1,1,1,1,1,1,1,80,29,117,42,46,182,30,10
7,2,3,0,1,1,1,1,1,1,1,101,36,117,42,56,112,60,30
7,2,3,0,1,1,1,1,1,1,1,80,32,72,35,49,112,30,20
7,2,3,0,1,1,1,1,1,1,1,101,32,90,31,38,182,60,20
7,2,3,0,1,1,1,1,1,1,1,87,29,90,31,46,112,120,10
7,1,3,0,1,1,1,1,1,1,1,80,36,72,42,56,140,120,10
7,2,3,0,1,1,1,1,1,1,1,80,36,90,31,40,140,30,30
7,2,3,0,1,1,1,1,1,1,1,101,29,72,35,43,140,60,10
8,2,4,0,1,1,1,3,1,1,1,109,56,130,26,34,30,120,20
8,2,4,0,1,1,1,3,1,1,1,100,53,130,26,32,39,30,10
8,2,4,0,1,1,1,3,1,1,1,126,60,130,26,40,24,60,30
8,3,4,0,1,1,1,3,1,1,1,100,56,80,22,35,24,30,20
8,2,4,0,1,1,1,3,1,1,1,126,56,100,20,24,39,60,20
8,3,4,0,1,1,1,3,1,1,1,109,53,100,20,32,24,120,10
8,3,4,0,1,1,1,3,1,1,1,100,60,80,26,40,30,120,10
8,2,4,0,1,1,1,3,1,1,1,100,60,100,20,26,30,30,30
8,2,4,0,1,1,1,3,1,1,1,126,53,80,22,28,30,60,10
9,2,2,0,1,1,1,2,1,1,1,116,53,60,24,28,32,30,10
9,2,2,0,1,1,1,2,1,1,1,116,46,78,22,32,40,30,20
9,2,2,0,1,1,1,2,1,1,1,116,49,78,24,36,52,120,10
9,2,2,0,1,1,1,2,1,1,1,95,46,48,22,32,52,60,30
9,2,2,0,1,1,1,2,1,1,1,102,46,78,24,29,32,30,30
9,2,2,0,1,1,1,2,1,1,1,102,46,48,29,32,32,60,20
9,2,2,0,1,1,1,2,1,1,1,102,49,48,22,25,40,30,10
9,2,2,0,1,1,1,2,1,1,1,102,49,60,24,36,40,60,30
9,2,2,0,1,1,1,2,1,1,1,116,49,48,29,35,52,30,30
10,2,2,0,1,2,1,1,1,1,0,131,59,0,42,46,0,120,30
10,1,2,0,1,2,1,1,1,1,0,110,62,0,31,38,0,120,30
10,2,2,0,1,2,1,1,1,1,0,131,66,0,31,40,0,120,20
10,2,2,0,1,2,1,1,1,1,0,117,66,0,31,40,0,60,10
10,2,2,0,1,2,1,1,1,1,0,117,66,0,35,42,0,120,30
10,2,2,0,1,2,1,1,1,1,0,110,66,0,35,42,0,60,20
10,2,2,0,1,2,1,1,1,1,0,110,62,0,42,49,0,60,10
10,2,2,0,1,2,1,1,1,1,0,110,59,0,35,43,0,120,20
10,1,2,0,1,2,1,1,1,1,0,117,66,0,42,56,0,30,20
11,2,2,0,1,2,1,2,1,1,0,116,52,0,32,38,0,30,10
11,2,2,0,1,2,1,2,1,1,0,116,48,0,32,43,0,120,10
11,2,2,0,1,2,1,2,1,1,0,116,45,0,29,40,0,30,20
11,2,2,0,1,2,1,2,1,1,0,93,45,0,29,40,0,60,30
11,2,2,0,1,2,1,2,1,1,0,101,45,0,32,40,0,30,30
11,2,2,0,1,2,1,2,1,1,0,101,48,0,29,34,0,30,10
11,2,2,0,1,2,1,2,1,1,0,101,45,0,38,43,0,60,20
11,2,2,0,1,2,1,2,1,1,0,116,48,0,38,45,0,30,30
11,2,2,0,1,2,1,2,1,1,0,101,48,0,32,43,0,60,30
12,2,3,0,1,2,1,2,1,1,0,131,66,0,36,42,0,30,10
12,2,3,0,1,2,1,2,1,1,0,131,62,0,36,50,0,120,10
12,2,3,0,1,2,1,2,1,1,0,131,59,0,32,48,0,30,20
12,2,3,0,1,2,1,2,1,1,0,110,59,0,32,48,0,60,30
12,2,3,0,1,2,1,2,1,1,0,117,59,0,36,45,0,30,30
12,2,3,0,1,2,1,2,1,1,0,117,62,0,32,38,0,30,10
12,2,3,0,1,2,1,2,1,1,0,117,59,0,43,48,0,60,20
12,2,3,0,1,2,1,2,1,1,0,131,62,0,43,49,0,30,30
12,2,3,0,1,2,1,2,1,1,0,117,62,0,36,50,0,60,30
13,2,3,0,1,2,1,1,1,1,0,168,86,0,37,40,0,120,30
13,2,3,0,1,2,1,1,1,1,0,129,89,0,28,32,0,120,30
13,2,3,0,1,2,1,1,1,1,0,168,93,0,28,32,0,120,20
13,2,3,0,1,2,1,1,1,1,0,142,93,0,28,32,0,60,10
13,2,3,0,1,2,1,1,1,1,0,142,93,0,31,34,0,120,30
13,1,3,0,1,2,1,1,1,1,0,129,93,0,31,34,0,60,20
13,1,3,0,1,2,1,1,1,1,0,129,89,0,37,42,0,60,10
13,2,3,0,1,2,1,1,1,1,0,129,86,0,31,36,0,120,20
13,2,3,0,1,2,1,1,1,1,0,142,93,0,37,46,0,30,20
14,2,3,0,1,2,1,2,1,1,1,130,77,91,31,38,100,120,20
14,2,3,0,1,2,1,2,1,1,1,118,74,91,31,36,130,30,10
14,2,3,0,1,2,1,2,1,1,1,153,81,91,31,43,80,60,30
14,1,3,0,1,2,1,2,1,1,1,118,77,56,26,38,80,30,20
14,2,3,0,1,2,1,2,1,1,1,153,77,70,23,28,130,60,20
14,2,3,0,1,2,1,2,1,1,1,130,74,70,23,35,80,120,10
14,2,3,0,1,2,1,2,1,1,1,118,81,56,31,43,100,120,10
14,1,3,0,1,2,1,2,1,1,1,118,81,70,23,29,100,30,30
14,2,3,0,1,2,1,2,1,1,1,153,74,56,26,32,100,60,10
15,2,3,0,1,2,1,2,1,1,0,111,41,0,26,31,0,120,30
15,2,3,0,1,2,1,2,1,1,0,111,48,0,20,26,0,120,20
15,2,3,0,1,2,1,2,1,1,0,90,44,0,20,24,0,120,30
15,2,3,0,1,2,1,2,1,1,0,97,48,0,20,26,0,60,10
15,2,3,0,1,2,1,2,1,1,0,97,48,0,22,26,0,120,30
15,2,3,0,1,2,1,2,1,1,0,90,48,0,22,26,0,60,20
15,2,3,0,1,2,1,2,1,1,0,90,44,0,26,32,0,60,10
15,2,3,0,1,2,1,2,1,1,0,90,41,0,22,28,0,120,20
15,1,3,0,1,2,1,2,1,1,0,97,48,0,26,40,0,30,20
16,2,3,0,1,2,1,2,1,1,1,208,79,190,62,66,80,30,10
16,2,3,0,1,2,1,2,1,1,1,208,71,247,62,80,130,120,10
16,2,3,0,1,2,1,2,1,1,1,208,65,247,56,74,100,30,20
16,2,3,0,1,2,1,2,1,1,1,165,65,152,56,74,130,60,30
16,2,3,0,1,2,1,2,1,1,1,179,65,247,62,70,80,30,30
16,2,3,0,1,2,1,2,1,1,1,179,71,152,56,62,100,30,10
16,2,3,0,1,2,1,2,1,1,1,179,65,152,74,78,80,60,20
16,2,3,0,1,2,1,2,1,1,1,208,71,152,74,80,130,30,30
16,2,3,0,1,2,1,2,1,1,1,179,71,190,62,80,100,60,30
17,2,1,0,1,1,0,2,1,1,1,132,61,90,23,26,20,30,10
17,2,1,0,1,1,0,2,1,1,1,132,57,117,23,31,32,120,10
17,2,1,0,1,1,0,2,1,1,1,132,54,117,21,28,25,30,20
17,2,1,0,1,1,0,2,1,1,1,102,54,72,21,28,32,60,30
17,2,1,0,1,1,0,2,1,1,1,112,54,117,23,28,20,30,30
17,2,1,0,1,1,0,2,1,1,1,112,57,72,21,24,25,30,10
17,2,1,0,1,1,0,2,1,1,1,112,54,72,28,30,20,60,20
17,2,1,0,1,1,0,2,1,1,1,132,57,72,28,31,32,30,30
17,2,1,0,1,1,0,2,1,1,1,112,57,90,23,31,25,60,30
18,2,3,0,1,1,0,3,1,1,1,186,95,110,24,27,32,30,10
18,2,3,0,1,1,0,3,1,1,1,186,89,143,24,32,52,120,10
18,2,3,0,1,1,0,3,1,1,1,186,84,143,22,30,40,30,20
18,2,3,0,1,1,0,3,1,1,1,154,84,88,22,30,52,60,30
18,2,3,0,1,1,0,3,1,1,1,165,84,143,24,28,32,30,30
18,2,3,0,1,1,0,3,1,1,1,165,89,88,22,25,40,30,10
18,2,3,0,1,1,0,3,1,1,1,165,84,88,29,30,32,60,20
18,2,3,0,1,1,0,3,1,1,1,186,89,88,29,32,52,30,30
18,2,3,0,1,1,0,3,1,1,1,165,89,110,24,32,40,60,30
19,3,1,0,1,1,1,1,1,1,1,212,121,1200,26,27,10,120,30
19,1,1,0,1,1,1,1,1,1,1,177,128,1560,20,23,13,60,10
19,3,1,0,1,1,1,1,1,1,1,159,124,1560,20,22,8,120,30
19,3,1,0,1,1,1,1,1,1,1,212,128,960,20,23,8,120,20
19,1,1,0,1,1,1,1,1,1,1,177,128,960,22,24,13,120,30
19,1,1,0,1,1,1,1,1,1,1,159,128,1560,22,24,10,60,20
19,2,1,0,1,1,1,1,1,1,1,159,124,1200,26,28,8,60,10
19,2,1,0,1,1,1,1,1,1,1,159,121,1200,22,25,13,120,20
19,1,1,0,1,1,1,1,1,1,1,177,128,1200,26,31,13,30,20
20,2,2,0,1,2,1,1,1,1,1,179,96,110,31,32,30,120,30
20,2,2,0,1,2,1,1,1,1,1,137,99,143,23,27,24,120,30
20,3,2,0,1,2,1,1,1,1,1,179,103,88,23,28,24,120,20
20,2,2,0,1,2,1,1,1,1,1,151,103,143,23,28,39,60,10
20,2,2,0,1,2,1,1,1,1,1,151,103,88,26,28,39,120,30
20,2,2,0,1,2,1,1,1,1,1,137,103,143,26,28,30,60,20
20,2,2,0,1,2,1,1,1,1,1,137,99,110,31,34,24,60,10
20,2,2,0,1,2,1,1,1,1,1,137,96,110,26,30,39,120,20
20,2,2,0,1,2,1,1,1,1,1,151,103,110,31,38,39,30,20
21,2,2,0,1,1,0,4,1,1,0,133,57,0,96,106,0,120,20
21,2,2,0,1,1,0,4,1,1,0,122,52,0,96,99,0,30,10
21,1,2,0,1,1,0,4,1,1,0,154,63,0,96,123,0,60,30
21,2,2,0,1,1,0,4,1,1,0,122,57,0,80,106,0,30,20
21,2,2,0,1,1,0,4,1,1,0,154,57,0,72,83,0,60,20
21,2,2,0,1,1,0,4,1,1,0,133,52,0,72,99,0,120,10
21,2,2,0,1,1,0,4,1,1,0,122,63,0,96,123,0,120,10
21,2,2,0,1,1,0,4,1,1,0,122,63,0,72,86,0,30,30
21,2,2,0,1,1,0,4,1,1,0,154,52,0,80,91,0,60,10
22,3,5,0,1,2,0,3,1,1,1,108,43,70,52,62,36,30,10
22,1,5,0,1,2,0,3,1,1,1,108,39,91,52,80,58,120,10
22,1,5,0,1,2,0,3,1,1,1,108,36,91,47,71,45,30,20
22,1,5,0,1,2,0,3,1,1,1,87,36,56,47,71,58,60,30
22,3,5,0,1,2,0,3,1,1,1,94,36,91,52,65,36,30,30
22,1,5,0,1,2,0,3,1,1,1,94,39,56,47,57,45,30,10
22,3,5,0,1,2,0,3,1,1,1,94,36,56,62,71,36,60,20
22,3,5,0,1,2,0,3,1,1,1,108,39,56,62,76,58,30,30
22,3,5,0,1,2,0,3,1,1,1,94,39,70,52,80,45,60,30
23,2,2,0,1,2,1,2,1,1,1,102,49,78,54,68,50,120,20
23,2,2,0,1,2,1,2,1,1,1,95,46,78,54,63,65,30,10
23,1,2,0,1,2,1,2,1,1,1,116,53,78,54,83,40,60,30
23,1,2,0,1,2,1,2,1,1,1,95,49,48,45,70,40,30,20
23,2,2,0,1,2,1,2,1,1,1,116,49,60,40,50,65,60,20
23,2,2,0,1,2,1,2,1,1,1,102,46,60,40,63,40,120,10
23,1,2,0,1,2,1,2,1,1,1,95,53,48,54,83,50,120,10
23,1,2,0,1,2,1,2,1,1,1,95,53,60,40,52,50,30,30
23,2,2,0,1,2,1,2,1,1,1,116,46,48,45,58,50,60,10
24,2,3,0,1,2,1,2,1,1,0,210,60,0,118,128,0,120,30
24,2,3,0,1,2,1,2,1,1,0,164,66,0,88,103,0,120,30
24,2,3,0,1,2,1,2,1,1,0,210,74,0,88,108,0,120,20
24,2,3,0,1,2,1,2,1,1,0,179,74,0,88,108,0,60,10
24,2,3,0,1,2,1,2,1,1,0,179,74,0,98,111,0,120,30
24,2,3,0,1,2,1,2,1,1,0,164,74,0,98,111,0,60,20
24,2,3,0,1,2,1,2,1,1,0,164,66,0,118,132,0,60,10
24,2,3,0,1,2,1,2,1,1,0,164,60,0,98,116,0,120,20
24,1,3,0,1,2,1,2,1,1,0,179,74,0,118,161,0,30,20
25,3,3,0,1,2,1,3,1,1,1,179,66,182,119,139,90,120,20
25,3,3,0,1,2,1,3,1,1,1,164,66,112,99,139,72,30,20
25,2,3,0,1,2,1,3,1,1,1,164,60,182,119,128,117,30,10
25,2,3,0,1,2,1,3,1,1,1,210,74,182,119,161,72,60,30
25,2,3,0,1,2,1,3,1,1,1,210,66,140,89,106,117,60,20
25,2,3,0,1,2,1,3,1,1,1,179,60,140,89,128,72,120,10
25,3,3,0,1,2,1,3,1,1,1,164,74,112,119,161,90,120,10
25,3,3,0,1,2,1,3,1,1,1,164,74,140,89,111,90,30,30
25,3,3,0,1,2,1,3,1,1,1,210,60,112,99,123,90,60,10
26,2,3,0,1,2,0,2,1,1,1,233,77,190,74,84,44,30,10
26,2,3,0,1,2,0,2,1,1,1,233,67,247,74,104,71,120,10
26,2,3,0,1,2,0,2,1,1,1,233,59,247,67,97,55,30,20
26,2,3,0,1,2,0,2,1,1,1,177,59,152,67,97,71,60,30
26,2,3,0,1,2,0,2,1,1,1,196,59,247,74,87,44,30,30
26,2,3,0,1,2,0,2,1,1,1,196,67,152,67,77,55,30,10
26,2,3,0,1,2,0,2,1,1,1,196,59,152,89,97,44,60,20
26,2,3,0,1,2,0,2,1,1,1,233,67,152,89,100,71,30,30
26,2,3,0,1,2,0,2,1,1,1,196,67,190,74,104,55,60,30
27,2,2,0,1,2,1,2,1,1,0,86,31,0,36,46,0,120,20
27,2,2,0,1,2,1,2,1,1,0,79,28,0,36,41,0,30,10
27,2,2,0,1,2,1,2,1,1,0,100,35,0,36,52,0,60,30
27,2,2,0,1,2,1,2,1,1,0,79,31,0,30,46,0,30,20
27,2,2,0,1,2,1,2,1,1,0,100,31,0,27,31,0,60,20
27,2,2,0,1,2,1,2,1,1,0,86,28,0,27,41,0,120,10
27,2,2,0,1,2,1,2,1,1,0,79,35,0,36,52,0,120,10
27,2,2,0,1,2,1,2,1,1,0,79,35,0,27,34,0,30,30
27,2,2,0,1,2,1,2,1,1,0,100,28,0,30,38,0,60,10
28,2,5,0,1,1,1,1,1,1,0,92,68,0,60,65,0,120,20
28,2,5,0,1,1,1,1,1,1,0,108,70,0,60,80,0,60,30
28,2,5,0,1,1,1,1,1,1,0,84,66,0,60,60,0,30,10
28,1,5,0,1,1,1,1,1,1,0,84,68,0,50,80,0,30,20
28,2,5,0,1,1,1,1,1,1,0,108,68,0,45,60,0,60,20
28,2,5,0,1,1,1,1,1,1,0,84,70,0,60,80,0,120,10
28,1,5,0,1,1,1,1,1,1,0,92,66,0,45,80,0,120,10
28,2,5,0,1,1,1,1,1,1,0,108,66,0,50,65,0,60,10
28,1,5,0,1,1,1,1,1,1,0,84,70,0,45,65,0,30,30
29,1,3,0,1,1,1,2,1,1,1,110,55,91,60,65,80,120,20
29,2,3,0,1,1,1,2,1,1,1,103,52,91,60,60,104,30,10
29,1,3,0,1,1,1,2,1,1,1,124,59,91,60,80,64,60,30
29,1,3,0,1,1,1,2,1,1,1,103,55,56,50,80,64,30,20
29,1,3,0,1,1,1,2,1,1,1,124,55,70,45,60,104,60,20
29,2,3,0,1,1,1,2,1,1,1,110,52,70,45,80,64,120,10
29,2,3,0,1,1,1,2,1,1,1,103,59,56,60,80,80,120,10
29,1,3,0,1,1,1,2,1,1,1,103,59,70,45,65,80,30,30
29,2,3,0,1,1,1,2,1,1,1,124,52,56,50,65,80,60,10
30,2,2,0,1,2,1,2,1,1,1,118,46,70,60,60,27,120,30
30,2,2,0,1,2,1,2,1,1,1,97,49,91,45,60,22,120,30
30,2,2,0,1,2,1,2,1,1,1,118,53,56,45,65,22,120,20
30,2,2,0,1,2,1,2,1,1,1,104,53,91,45,65,35,60,10
30,2,2,0,1,2,1,2,1,1,1,104,53,56,50,60,35,120,30
30,2,2,0,1,2,1,2,1,1,1,97,53,91,50,60,27,60,20
30,2,2,0,1,2,1,2,1,1,1,97,49,70,60,65,22,60,10
30,2,2,0,1,2,1,2,1,1,1,97,46,70,50,65,35,120,20
30,2,2,0,1,2,1,2,1,1,1,104,53,70,60,80,35,30,20
31,2,3,0,1,2,1,3,1,1,1,182,69,182,60,65,80,120,20
31,2,3,0,1,2,1,3,1,1,1,165,63,182,60,60,104,30,10
31,2,3,0,1,2,1,3,1,1,1,215,77,182,60,80,64,60,30
31,2,3,0,1,2,1,3,1,1,1,165,69,112,50,80,64,30,20
31,2,3,0,1,2,1,3,1,1,1,215,69,140,45,60,104,60,20
31,2,3,0,1,2,1,3,1,1,1,182,63,140,45,80,64,120,10
31,3,3,0,1,2,1,3,1,1,1,165,77,112,60,80,80,120,10
31,2,3,0,1,2,1,3,1,1,1,165,77,140,45,65,80,30,30
31,2,3,0,1,2,1,3,1,1,1,215,63,112,50,65,80,60,10
32,2,2,0,1,3,1,4,1,1,0,281,119,0,50,60,0,30,10
32,1,2,0,1,3,1,4,1,1,0,281,109,0,50,80,0,120,10
32,2,2,0,1,3,1,4,1,1,0,281,101,0,45,80,0,30,20
32,2,2,0,1,3,1,4,1,1,0,216,101,0,45,80,0,60,30
32,2,2,0,1,3,1,4,1,1,0,238,101,0,50,65,0,30,30
32,2,2,0,1,3,1,4,1,1,0,238,109,0,45,60,0,30,10
32,2,2,0,1,3,1,4,1,1,0,238,101,0,60,60,0,60,20
32,2,2,0,1,3,1,4,1,1,0,281,109,0,60,65,0,30,30
32,2,2,0,1,3,1,4,1,1,0,238,109,0,50,80,0,60,30
33,2,2,1,1,1,0,4,1,1,0,64,40,0,3120,3380,0,120,20
33,2,2,1,1,1,0,4,1,1,0,71,42,0,3120,4160,0,60,30
33,2,2,1,1,1,0,4,1,1,0,61,38,0,3120,3120,0,30,10
33,1,2,1,1,1,0,4,1,1,0,61,40,0,2600,4160,0,30,20
33,1,2,1,1,1,0,4,1,1,0,71,40,0,2340,3120,0,60,20
33,1,2,1,1,1,0,4,1,1,0,64,38,0,2340,4160,0,120,10
33,2,2,1,1,1,0,4,1,1,0,61,42,0,3120,4160,0,120,10
33,2,2,1,1,1,0,4,1,1,0,71,38,0,2600,3380,0,60,10
33,2,2,1,1,1,0,4,1,1,0,61,42,0,2340,3380,0,30,30
34,2,3,1,1,1,0,2,1,1,0,139,81,0,2600,3120,0,30,10
34,2,3,1,1,1,0,2,1,1,0,139,77,0,2600,4160,0,120,10
34,1,3,1,1,1,0,2,1,1,0,139,74,0,2340,4160,0,30,20
34,1,3,1,1,1,0,2,1,1,0,110,74,0,2340,4160,0,60,30
34,2,3,1,1,1,0,2,1,1,0,120,74,0,2600,3380,0,30,30
34,1,3,1,1,1,0,2,1,1,0,120,77,0,2340,3120,0,30,10
34,2,3,1,1,1,0,2,1,1,0,120,74,0,3120,3120,0,60,20
34,2,3,1,1,1,0,2,1,1,0,139,77,0,3120,3380,0,30,30
34,1,3,1,1,1,0,2,1,1,0,120,77,0,2600,4160,0,60,30
35,2,2,1,1,1,1,1,1,1,0,148,75,0,2600,3120,0,30,10
35,1,2,1,1,1,1,1,1,1,0,148,68,0,2340,4160,0,30,20
35,1,2,1,1,1,1,1,1,1,0,148,71,0,2600,4160,0,120,10
35,1,2,1,1,1,1,1,1,1,0,112,68,0,2340,4160,0,60,30
35,1,2,1,1,1,1,1,1,1,0,124,68,0,2600,3380,0,30,30
35,1,2,1,1,1,1,1,1,1,0,124,71,0,2340,3120,0,30,10
35,2,2,1,1,1,1,1,1,1,0,124,68,0,3120,3120,0,60,20
35,1,2,1,1,1,1,1,1,1,0,148,71,0,3120,3380,0,30,30
35,1,2,1,1,1,1,1,1,1,0,124,71,0,2600,4160,0,60,30
36,2,2,1,1,1,1,2,1,1,0,87,34,0,3120,3380,0,120,20
36,2,2,1,1,1,1,2,1,1,0,80,31,0,3120,3120,0,30,10
36,2,2,1,1,1,1,2,1,1,0,101,38,0,3120,4160,0,60,30
36,2,2,1,1,1,1,2,1,1,0,80,34,0,2600,4160,0,30,20
36,2,2,1,1,1,1,2,1,1,0,101,34,0,2340,3120,0,60,20
36,1,2,1,1,1,1,2,1,1,0,87,31,0,2340,4160,0,120,10
36,2,2,1,1,1,1,2,1,1,0,80,38,0,3120,4160,0,120,10
36,1,2,1,1,1,1,2,1,1,0,80,38,0,2340,3380,0,30,30
36,2,2,1,1,1,1,2,1,1,0,101,31,0,2600,3380,0,60,10
37,2,2,1,1,1,1,4,1,1,1,66,37,50,2600,3120,32,30,10
37,2,2,1,1,1,1,4,1,1,1,66,35,65,2600,4160,52,120,10
37,2,2,1,1,1,1,4,1,1,1,66,33,65,2340,4160,40,30,20
37,2,2,1,1,1,1,4,1,1,1,56,33,40,2340,4160,52,60,30
37,2,2,1,1,1,1,4,1,1,1,59,33,65,2600,3380,32,30,30
37,2,2,1,1,1,1,4,1,1,1,59,35,40,2340,3120,40,30,10
37,2,2,1,1,1,1,4,1,1,1,59,33,40,3120,3120,32,60,20
37,2,2,1,1,1,1,4,1,1,1,66,35,40,3120,3380,52,30,30
37,2,2,1,1,1,1,4,1,1,1,59,35,50,2600,4160,40,60,30
38,2,2,1,1,1,1,2,1,1,0,121,49,0,3120,3120,0,120,30
38,2,2,1,1,1,1,2,1,1,0,100,52,0,2340,3120,0,120,30
38,2,2,1,1,1,1,2,1,1,0,121,56,0,2340,3380,0,120,20
38,2,2,1,1,1,1,2,1,1,0,107,56,0,2340,3380,0,60,10
38,2,2,1,1,1,1,2,1,1,0,107,56,0,2600,3120,0,120,30
38,2,2,1,1,1,1,2,1,1,0,100,56,0,2600,3120,0,60,20
38,2,2,1,1,1,1,2,1,1,0,100,52,0,3120,3380,0,60,10
38,2,2,1,1,1,1,2,1,1,0,100,49,0,2600,3380,0,120,20
38,1,2,1,1,1,1,2,1,1,0,107,56,0,3120,4160,0,30,20
39,2,2,1,1,1,1,2,1,1,0,205,55,0,3120,3120,0,120,30
39,2,2,1,1,1,1,2,1,1,0,159,61,0,2340,3120,0,120,30
39,2,2,1,1,1,1,2,1,1,0,205,69,0,2340,3380,0,120,20
39,2,2,1,1,1,1,2,1,1,0,174,69,0,2340,3380,0,60,10
39,2,2,1,1,1,1,2,1,1,0,174,69,0,2600,3120,0,120,30
39,1,2,1,1,1,1,2,1,1,0,159,69,0,2600,3120,0,60,20
39,2,2,1,1,1,1,2,1,1,0,159,61,0,3120,3380,0,60,10
39,2,2,1,1,1,1,2,1,1,0,159,55,0,2600,3380,0,120,20
39,1,2,1,1,1,1,2,1,1,0,174,69,0,3120,4160,0,30,20
40,2,3,1,1,1,1,1,1,1,0,97,44,0,3120,3380,0,120,20
40,2,3,1,1,1,1,1,1,1,0,88,41,0,3120,3120,0,30,10
40,2,3,1,1,1,1,1,1,1,0,114,48,0,3120,4160,0,60,30
40,2,3,1,1,1,1,1,1,1,0,88,44,0,2600,4160,0,30,20
40,2,3,1,1,1,1,1,1,1,0,114,44,0,2340,3120,0,60,20
40,2,3,1,1,1,1,1,1,1,0,97,41,0,2340,4160,0,120,10
40,2,3,1,1,1,1,1,1,1,0,88,48,0,3120,4160,0,120,10
