ID,CHOICE,AV_TRAIN,AV_SM,AV_CAR,TRAIN_ASC_1,TRAIN_TT_1,TRAIN_CO_1,SM_ASC_1,SM_TT_1,SM_CO_1,CAR_TT_1,CAR_CO_1
695,2,1,1,1,1.000,1.633,0.710,1.000,0.950,0.780,2.167,0.650
695,3,1,1,1,1.000,1.633,0.850,1.000,0.883,0.920,1.667,0.520
695,2,1,1,1,1.000,1.633,0.710,1.000,0.833,0.840,1.667,0.840
695,3,1,1,1,1.000,1.800,0.850,1.000,0.950,1.050,1.667,0.840
682,2,1,1,1,1.000,3.567,1.310,1.000,1.417,1.460,4.983,1.500
682,2,1,1,1,1.000,3.233,1.310,1.000,1.283,1.400,4.983,1.950
682,2,1,1,1,1.000,4.250,1.310,1.000,1.583,1.740,4.983,1.200
682,2,1,1,1,1.000,3.233,1.090,1.000,1.417,1.500,3.067,1.200
682,2,1,1,1,1.000,4.250,0.980,1.000,1.417,1.120,3.833,1.950
682,2,1,1,1,1.000,3.567,0.980,1.000,1.283,1.370,3.833,1.200
682,3,1,1,1,1.000,3.233,1.310,1.000,1.583,1.740,3.067,1.500
682,2,1,1,1,1.000,3.233,0.980,1.000,1.583,1.180,3.833,1.500
682,2,1,1,1,1.000,4.250,1.090,1.000,1.283,1.270,3.067,1.500
574,1,1,1,1,1.000,1.750,0.430,1.000,0.833,0.500,1.733,0.650
574,2,1,1,1,1.000,1.583,0.430,1.000,0.783,0.480,1.733,0.840
574,3,1,1,1,1.000,2.067,0.430,1.000,0.900,0.570,1.733,0.520
574,3,1,1,1,1.000,1.583,0.360,1.000,0.833,0.500,1.067,0.520
574,2,1,1,1,1.000,2.067,0.320,1.000,0.833,0.380,1.333,0.840
574,3,1,1,1,1.000,1.750,0.320,1.000,0.783,0.480,1.333,0.520
574,3,1,1,1,1.000,1.583,0.430,1.000,0.900,0.570,1.067,0.650
574,3,1,1,1,1.000,1.583,0.320,1.000,0.900,0.420,1.333,0.650
574,3,1,1,1,1.000,2.067,0.360,1.000,0.783,0.450,1.067,0.650
1107,2,1,1,1,1.000,3.567,0.140,1.000,2.000,0.140,2.167,0.950
1107,2,1,1,1,1.000,2.667,0.110,1.000,2.050,0.140,2.817,0.760
1107,2,1,1,1,1.000,3.567,0.110,1.000,2.117,0.150,1.733,0.760
1107,2,1,1,1,1.000,2.967,0.110,1.000,2.117,0.150,2.817,1.230
1107,2,1,1,1,1.000,2.967,0.120,1.000,2.117,0.140,1.733,1.230
1107,2,1,1,1,1.000,2.667,0.120,1.000,2.117,0.140,2.817,0.950
1107,2,1,1,1,1.000,2.667,0.140,1.000,2.050,0.150,2.167,0.760
1107,2,1,1,1,1.000,2.667,0.120,1.000,2.000,0.150,2.167,1.230
1107,2,1,1,1,1.000,2.967,0.140,1.000,2.117,0.190,2.167,1.230
744,3,1,1,1,1.000,1.767,0.720,1.000,0.567,0.780,1.500,0.600
744,2,1,1,1,1.000,1.417,0.540,1.000,0.617,0.650,1.950,0.480
744,3,1,1,1,1.000,1.767,0.540,1.000,0.683,0.680,1.200,0.480
744,1,1,1,1,1.000,1.533,0.540,1.000,0.683,0.680,1.950,0.780
744,2,1,1,1,1.000,1.533,0.600,1.000,0.683,0.710,1.200,0.780
744,1,1,1,1,1.000,1.417,0.600,1.000,0.683,0.710,1.950,0.600
744,2,1,1,1,1.000,1.417,0.720,1.000,0.617,0.840,1.500,0.480
744,2,1,1,1,1.000,1.417,0.600,1.000,0.567,0.740,1.500,0.780
744,1,1,1,1,1.000,1.533,0.720,1.000,0.683,0.940,1.500,0.780
749,2,1,1,1,1.000,1.533,0.720,1.000,0.617,0.840,1.733,0.500
749,2,1,1,1,1.000,1.417,0.720,1.000,0.567,0.780,1.733,0.650
749,3,1,1,1,1.000,1.767,0.720,1.000,0.683,0.940,1.733,0.400
749,3,1,1,1,1.000,1.417,0.600,1.000,0.617,0.840,1.067,0.400
749,2,1,1,1,1.000,1.767,0.540,1.000,0.617,0.650,1.333,0.650
749,2,1,1,1,1.000,1.533,0.540,1.000,0.567,0.780,1.333,0.400
749,3,1,1,1,1.000,1.417,0.720,1.000,0.683,0.940,1.067,0.500
749,2,1,1,1,1.000,1.417,0.540,1.000,0.683,0.680,1.333,0.500
749,2,1,1,1,1.000,1.767,0.600,1.000,0.567,0.740,1.067,0.500
492,2,1,1,1,1.000,4.417,1.100,1.000,1.933,1.180,3.000,1.050
492,2,1,1,1,1.000,3.533,0.830,1.000,2.033,0.970,3.900,0.840
492,3,1,1,1,1.000,4.417,0.830,1.000,2.167,1.050,2.400,0.840
492,2,1,1,1,1.000,3.833,0.830,1.000,2.167,1.050,3.900,1.360
492,3,1,1,1,1.000,3.833,0.920,1.000,2.167,1.050,2.400,1.360
492,2,1,1,1,1.000,3.533,0.920,1.000,2.167,1.050,3.900,1.050
492,2,1,1,1,1.000,3.533,1.100,1.000,2.033,1.270,3.000,0.840
492,2,1,1,1,1.000,3.533,0.920,1.000,1.933,1.090,3.000,1.360
492,2,1,1,1,1.000,3.833,1.100,1.000,2.167,1.460,3.000,1.360
446,2,1,1,1,1.000,1.833,0.310,1.000,0.917,0.400,1.517,0.400
446,2,1,1,1,1.000,1.650,0.310,1.000,0.867,0.360,1.517,0.520
446,3,1,1,1,1.000,2.200,0.310,1.000,0.983,0.450,1.517,0.320
446,3,1,1,1,1.000,1.650,0.260,1.000,0.917,0.400,0.933,0.320
446,2,1,1,1,1.000,2.200,0.230,1.000,0.917,0.280,1.167,0.520
446,2,1,1,1,1.000,1.833,0.230,1.000,0.867,0.360,1.167,0.320
446,2,1,1,1,1.000,1.650,0.310,1.000,0.983,0.450,0.933,0.400
446,2,1,1,1,1.000,1.650,0.230,1.000,0.983,0.290,1.167,0.400
446,2,1,1,1,1.000,2.200,0.260,1.000,0.867,0.320,0.933,0.400
550,3,1,1,1,1.000,1.767,0.350,1.000,0.683,0.420,1.333,0.360
550,2,1,1,1,1.000,1.767,0.350,1.000,0.617,0.490,1.733,0.580
550,2,1,1,1,1.000,1.767,0.310,1.000,0.567,0.460,1.733,0.450
550,3,1,1,1,1.000,1.417,0.310,1.000,0.567,0.460,1.067,0.580
550,3,1,1,1,1.000,1.533,0.350,1.000,0.567,0.430,1.733,0.360
550,3,1,1,1,1.000,1.533,0.310,1.000,0.617,0.380,1.067,0.450
550,3,1,1,1,1.000,1.533,0.420,1.000,0.567,0.460,1.067,0.360
550,3,1,1,1,1.000,1.767,0.420,1.000,0.617,0.490,1.067,0.580
550,3,1,1,1,1.000,1.533,0.350,1.000,0.617,0.490,1.333,0.450
1124,3,1,1,1,1.000,3.567,1.130,1.000,1.767,1.330,3.683,1.000
1124,2,1,1,1,1.000,3.217,1.130,1.000,1.667,1.220,3.683,1.300
1124,3,1,1,1,1.000,4.283,1.130,1.000,1.900,1.500,3.683,0.800
1124,3,1,1,1,1.000,3.217,0.940,1.000,1.767,1.330,2.267,0.800
1124,2,1,1,1,1.000,4.283,0.850,1.000,1.767,0.990,2.833,1.300
1124,3,1,1,1,1.000,3.567,0.850,1.000,1.667,1.220,2.833,0.800
1124,3,1,1,1,1.000,3.217,1.130,1.000,1.900,1.500,2.267,1.000
1124,3,1,1,1,1.000,3.217,0.850,1.000,1.900,1.050,2.833,1.000
1124,3,1,1,1,1.000,4.283,0.940,1.000,1.667,1.120,2.267,1.000
150,2,1,1,1,1.000,1.367,31.200,1.000,0.450,33.800,1.950,1.000
150,2,1,1,1,1.000,1.250,31.200,1.000,0.400,31.200,1.950,1.300
150,2,1,1,1,1.000,1.600,31.200,1.000,0.517,41.600,1.950,0.800
150,1,1,1,1,1.000,1.250,26.000,1.000,0.450,41.600,1.200,0.800
150,1,1,1,1,1.000,1.600,23.400,1.000,0.450,31.200,1.500,1.300
150,3,1,1,1,1.000,1.367,23.400,1.000,0.400,41.600,1.500,0.800
150,2,1,1,1,1.000,1.250,31.200,1.000,0.517,41.600,1.200,1.000
150,2,1,1,1,1.000,1.250,23.400,1.000,0.517,33.800,1.500,1.000
150,3,1,1,1,1.000,1.600,26.000,1.000,0.400,33.800,1.200,1.000
568,3,1,1,1,1.000,2.650,0.420,1.000,1.400,0.460,1.833,0.440
568,2,1,1,1,1.000,2.650,0.420,1.000,1.333,0.530,2.383,0.710
568,2,1,1,1,1.000,2.650,0.380,1.000,1.283,0.500,2.383,0.550
568,3,1,1,1,1.000,2.050,0.380,1.000,1.283,0.500,1.467,0.710
568,2,1,1,1,1.000,2.250,0.420,1.000,1.283,0.480,2.383,0.440
568,3,1,1,1,1.000,2.250,0.380,1.000,1.333,0.430,1.467,0.550
568,3,1,1,1,1.000,2.250,0.500,1.000,1.283,0.520,1.467,0.440
568,3,1,1,1,1.000,2.650,0.500,1.000,1.333,0.530,1.467,0.710
568,2,1,1,1,1.000,2.250,0.420,1.000,1.333,0.530,1.833,0.550
543,2,1,1,1,1.000,3.217,0.620,1.000,0.833,0.660,2.833,1.050
543,2,1,1,1,1.000,2.500,0.470,1.000,0.933,0.530,3.683,0.840
543,2,1,1,1,1.000,3.217,0.470,1.000,1.067,0.570,2.267,0.840
543,2,1,1,1,1.000,2.733,0.470,1.000,1.067,0.570,3.683,1.360
543,2,1,1,1,1.000,2.733,0.520,1.000,1.067,0.570,2.267,1.360
543,2,1,1,1,1.000,2.500,0.520,1.000,1.067,0.570,3.683,1.050
543,2,1,1,1,1.000,2.500,0.620,1.000,0.933,0.700,2.833,0.840
543,2,1,1,1,1.000,2.500,0.520,1.000,0.833,0.620,2.833,1.360
543,2,1,1,1,1.000,2.733,0.620,1.000,1.067,0.820,2.833,1.360
815,2,1,1,1,1.000,2.483,0.910,1.000,1.567,0.970,2.383,0.500
815,2,1,1,1,1.000,2.233,0.910,1.000,1.517,0.940,2.383,0.650
815,3,1,1,1,1.000,2.983,0.910,1.000,1.633,1.090,2.383,0.400
815,3,1,1,1,1.000,2.233,0.760,1.000,1.567,0.970,1.467,0.400
815,3,1,1,1,1.000,2.983,0.680,1.000,1.567,0.780,1.833,0.650
815,3,1,1,1,1.000,2.483,0.680,1.000,1.517,0.900,1.833,0.400
815,3,1,1,1,1.000,2.233,0.910,1.000,1.633,1.090,1.467,0.500
815,3,1,1,1,1.000,2.233,0.680,1.000,1.633,0.810,1.833,0.500
815,3,1,1,1,1.000,2.983,0.760,1.000,1.517,0.840,1.467,0.500
197,2,1,1,0,1.000,0.933,1.000,1.000,0.383,1.000,0.000,0.000
197,2,1,1,0,1.000,0.767,0.750,1.000,0.417,1.000,0.000,0.000
197,2,1,1,0,1.000,0.933,0.750,1.000,0.450,1.080,0.000,0.000
197,2,1,1,0,1.000,0.817,0.750,1.000,0.450,1.080,0.000,0.000
197,2,1,1,0,1.000,0.817,0.830,1.000,0.450,1.000,0.000,0.000
197,2,1,1,0,1.000,0.767,0.830,1.000,0.450,1.000,0.000,0.000
197,2,1,1,0,1.000,0.767,1.000,1.000,0.417,1.080,0.000,0.000
197,2,1,1,0,1.000,0.767,0.830,1.000,0.383,1.080,0.000,0.000
197,1,1,1,0,1.000,0.817,1.000,1.000,0.450,1.330,0.000,0.000
770,2,1,1,1,1.000,3.817,0.760,1.000,2.100,0.840,2.500,0.800
770,2,1,1,1,1.000,3.817,0.760,1.000,2.000,0.990,3.250,1.300
770,3,1,1,1,1.000,3.817,0.680,1.000,1.917,0.920,3.250,1.000
770,3,1,1,1,1.000,3.000,0.680,1.000,1.917,0.920,2.000,1.300
770,2,1,1,1,1.000,3.267,0.760,1.000,1.917,0.880,3.250,0.800
770,3,1,1,1,1.000,3.267,0.680,1.000,2.000,0.780,2.000,1.000
770,3,1,1,1,1.000,3.267,0.910,1.000,1.917,0.940,2.000,0.800
770,3,1,1,1,1.000,3.817,0.910,1.000,2.000,0.990,2.000,1.300
770,2,1,1,1,1.000,3.267,0.760,1.000,2.000,0.990,2.500,1.000
221,2,1,1,1,1.000,1.717,0.300,1.000,0.517,0.340,1.167,0.200
221,2,1,1,1,1.000,1.367,0.220,1.000,0.567,0.260,1.517,0.160
221,2,1,1,1,1.000,1.717,0.220,1.000,0.633,0.280,0.933,0.160
221,2,1,1,1,1.000,1.483,0.220,1.000,0.633,0.280,1.517,0.260
221,2,1,1,1,1.000,1.483,0.250,1.000,0.633,0.290,0.933,0.260
221,2,1,1,1,1.000,1.367,0.250,1.000,0.633,0.290,1.517,0.200
221,2,1,1,1,1.000,1.367,0.300,1.000,0.567,0.380,1.167,0.160
221,2,1,1,1,1.000,1.367,0.250,1.000,0.517,0.320,1.167,0.260
221,1,1,1,1,1.000,1.483,0.300,1.000,0.633,0.430,1.167,0.260
1030,2,1,1,1,1.000,3.283,1.370,1.000,1.483,1.560,4.550,1.100
1030,2,1,1,1,1.000,2.950,1.370,1.000,1.383,1.490,4.550,1.430
1030,3,1,1,1,1.000,3.933,1.370,1.000,1.617,1.820,4.550,0.880
1030,3,1,1,1,1.000,2.950,1.140,1.000,1.483,1.560,2.800,0.880
1030,2,1,1,1,1.000,3.933,1.030,1.000,1.483,1.230,3.500,1.430
1030,3,1,1,1,1.000,3.283,1.030,1.000,1.383,1.440,3.500,0.880
1030,3,1,1,1,1.000,2.950,1.370,1.000,1.617,1.820,2.800,1.100
1030,2,1,1,1,1.000,2.950,1.030,1.000,1.617,1.280,3.500,1.100
1030,2,1,1,1,1.000,3.933,1.140,1.000,1.383,1.390,2.800,1.100
238,1,1,1,1,1.000,3.550,0.680,1.000,1.167,0.720,3.167,0.950
238,1,1,1,1,1.000,2.833,0.510,1.000,1.267,0.580,4.117,0.760
238,1,1,1,1,1.000,3.550,0.510,1.000,1.400,0.620,2.533,0.760
238,1,1,1,1,1.000,3.067,0.510,1.000,1.400,0.620,4.117,1.230
238,2,1,1,1,1.000,3.067,0.570,1.000,1.400,0.640,2.533,1.230
238,3,1,1,1,1.000,2.833,0.570,1.000,1.400,0.640,4.117,0.950
238,2,1,1,1,1.000,2.833,0.680,1.000,1.267,0.780,3.167,0.760
238,2,1,1,1,1.000,2.833,0.570,1.000,1.167,0.660,3.167,1.230
238,1,1,1,1,1.000,3.067,0.680,1.000,1.400,0.880,3.167,1.230
107,2,1,1,1,1.000,2.700,0.400,1.000,1.450,0.450,2.000,0.480
107,2,1,1,1,1.000,2.700,0.400,1.000,1.383,0.520,2.600,0.780
107,2,1,1,1,1.000,2.700,0.360,1.000,1.333,0.490,2.600,0.600
107,2,1,1,1,1.000,2.100,0.360,1.000,1.333,0.490,1.600,0.780
107,2,1,1,1,1.000,2.300,0.400,1.000,1.333,0.460,2.600,0.480
107,2,1,1,1,1.000,2.300,0.360,1.000,1.383,0.420,1.600,0.600
107,2,1,1,1,1.000,2.300,0.480,1.000,1.333,0.500,1.600,0.480
107,2,1,1,1,1.000,2.700,0.480,1.000,1.383,0.520,1.600,0.780
107,2,1,1,1,1.000,2.300,0.400,1.000,1.383,0.520,2.000,0.600
959,3,1,1,1,1.000,1.017,0.190,1.000,0.467,0.220,0.667,0.300
959,3,1,1,1,1.000,0.850,0.140,1.000,0.500,0.180,0.867,0.240
959,3,1,1,1,1.000,1.017,0.140,1.000,0.533,0.190,0.533,0.240
959,2,1,1,1,1.000,0.900,0.140,1.000,0.533,0.190,0.867,0.390
959,2,1,1,1,1.000,0.900,0.160,1.000,0.533,0.200,0.533,0.390
959,1,1,1,1,1.000,0.850,0.160,1.000,0.533,0.200,0.867,0.300
959,3,1,1,1,1.000,0.850,0.190,1.000,0.500,0.250,0.667,0.240
959,2,1,1,1,1.000,0.850,0.160,1.000,0.467,0.210,0.667,0.390
959,1,1,1,1,1.000,0.900,0.190,1.000,0.533,0.310,0.667,0.390
953,2,1,1,1,1.000,4.133,0.670,1.000,1.567,0.720,3.000,1.050
953,2,1,1,1,1.000,3.133,0.500,1.000,1.667,0.570,3.900,0.840
953,2,1,1,1,1.000,4.133,0.500,1.000,1.800,0.620,2.400,0.840
953,2,1,1,1,1.000,3.467,0.500,1.000,1.800,0.620,3.900,1.360
953,2,1,1,1,1.000,3.467,0.560,1.000,1.800,0.640,2.400,1.360
953,2,1,1,1,1.000,3.133,0.560,1.000,1.800,0.640,3.900,1.050
953,2,1,1,1,1.000,3.133,0.670,1.000,1.667,0.740,3.000,0.840
953,2,1,1,1,1.000,3.133,0.560,1.000,1.567,0.660,3.000,1.360
953,2,1,1,1,1.000,3.467,0.670,1.000,1.800,0.880,3.000,1.360
39,2,1,1,0,1.000,3.417,31.200,1.000,0.917,31.200,0.000,0.000
39,2,1,1,0,1.000,2.650,23.400,1.000,1.017,31.200,0.000,0.000
39,2,1,1,0,1.000,3.417,23.400,1.000,1.150,33.800,0.000,0.000
39,2,1,1,0,1.000,2.900,23.400,1.000,1.150,33.800,0.000,0.000
39,2,1,1,0,1.000,2.900,26.000,1.000,1.150,31.200,0.000,0.000
39,1,1,1,0,1.000,2.650,26.000,1.000,1.150,31.200,0.000,0.000
39,2,1,1,0,1.000,2.650,31.200,1.000,1.017,33.800,0.000,0.000
39,2,1,1,0,1.000,2.650,26.000,1.000,0.917,33.800,0.000,0.000
39,1,1,1,0,1.000,2.900,31.200,1.000,1.150,41.600,0.000,0.000
425,2,1,1,1,1.000,3.167,0.660,1.000,1.983,0.720,3.000,0.680
425,2,1,1,1,1.000,3.167,0.660,1.000,1.917,0.800,3.900,1.100
425,2,1,1,1,1.000,3.167,0.590,1.000,1.867,0.720,3.900,0.850
425,1,1,1,1,1.000,2.667,0.590,1.000,1.867,0.720,2.400,1.100
425,1,1,1,1,1.000,2.833,0.660,1.000,1.867,0.740,3.900,0.680
425,1,1,1,1,1.000,2.833,0.590,1.000,1.917,0.660,2.400,0.850
425,2,1,1,1,1.000,2.833,0.790,1.000,1.867,0.820,2.400,0.680
425,2,1,1,1,1.000,3.167,0.790,1.000,1.917,0.860,2.400,1.100
425,1,1,1,1,1.000,2.833,0.660,1.000,1.917,0.800,3.000,0.850
166,2,1,1,1,1.000,0.883,2.080,1.000,0.333,2.080,0.667,0.200
166,1,1,1,1,1.000,0.883,1.560,1.000,0.400,2.250,0.533,0.160
166,1,1,1,1,1.000,0.717,1.560,1.000,0.367,2.080,0.867,0.160
166,1,1,1,1,1.000,0.767,1.560,1.000,0.400,2.250,0.867,0.260
166,1,1,1,1,1.000,0.767,1.730,1.000,0.400,2.080,0.533,0.260
166,1,1,1,1,1.000,0.717,1.730,1.000,0.400,2.080,0.867,0.200
166,1,1,1,1,1.000,0.717,2.080,1.000,0.367,2.250,0.667,0.160
166,1,1,1,1,1.000,0.767,2.080,1.000,0.400,2.770,0.667,0.260
166,1,1,1,1,1.000,0.717,1.730,1.000,0.333,2.250,0.667,0.260
134,2,1,1,0,1.000,3.600,26.000,1.000,2.300,31.200,0.000,0.000
134,1,1,1,0,1.000,3.600,26.000,1.000,2.233,41.600,0.000,0.000
134,1,1,1,0,1.000,3.600,23.400,1.000,2.183,41.600,0.000,0.000
134,1,1,1,0,1.000,2.800,23.400,1.000,2.183,41.600,0.000,0.000
134,1,1,1,0,1.000,3.067,26.000,1.000,2.183,33.800,0.000,0.000
134,1,1,1,0,1.000,3.067,23.400,1.000,2.233,31.200,0.000,0.000
134,2,1,1,0,1.000,3.067,31.200,1.000,2.183,31.200,0.000,0.000
134,2,1,1,0,1.000,3.600,31.200,1.000,2.233,33.800,0.000,0.000
134,1,1,1,0,1.000,3.067,26.000,1.000,2.233,41.600,0.000,0.000
51,2,1,1,1,1.000,1.783,26.000,1.000,1.350,31.200,1.500,0.440
51,2,1,1,1,1.000,1.783,26.000,1.000,1.317,41.600,1.950,0.710
51,2,1,1,1,1.000,1.783,23.400,1.000,1.283,41.600,1.950,0.550
51,2,1,1,1,1.000,1.367,23.400,1.000,1.283,41.600,1.200,0.710
51,2,1,1,1,1.000,1.500,26.000,1.000,1.283,33.800,1.950,0.440
51,2,1,1,1,1.000,1.500,23.400,1.000,1.317,31.200,1.200,0.550
51,2,1,1,1,1.000,1.500,31.200,1.000,1.283,31.200,1.200,0.440
51,2,1,1,1,1.000,1.783,31.200,1.000,1.317,33.800,1.200,0.710
51,2,1,1,1,1.000,1.500,26.000,1.000,1.317,41.600,1.500,0.550
674,2,1,1,1,1.000,2.500,0.780,1.000,1.217,0.780,1.833,0.700
674,2,1,1,1,1.000,2.017,0.580,1.000,1.267,0.650,2.383,0.560
674,2,1,1,1,1.000,2.500,0.580,1.000,1.333,0.680,1.467,0.560
674,2,1,1,1,1.000,2.183,0.580,1.000,1.333,0.680,2.383,0.910
674,2,1,1,1,1.000,2.183,0.650,1.000,1.333,0.710,1.467,0.910
674,2,1,1,1,1.000,2.017,0.650,1.000,1.333,0.710,2.383,0.700
674,2,1,1,1,1.000,2.017,0.780,1.000,1.267,0.810,1.833,0.560
674,2,1,1,1,1.000,2.017,0.650,1.000,1.217,0.740,1.833,0.910
674,2,1,1,1,1.000,2.183,0.780,1.000,1.333,0.900,1.833,0.910
121,2,1,1,1,1.000,1.200,0.120,1.000,0.800,0.150,0.867,0.600
121,2,1,1,1,1.000,1.317,0.120,1.000,0.833,0.180,0.867,0.480
121,2,1,1,1,1.000,1.150,0.120,1.000,0.767,0.140,0.867,0.780
121,2,1,1,1,1.000,1.150,0.100,1.000,0.800,0.160,0.533,0.480
121,2,1,1,1,1.000,1.317,0.090,1.000,0.800,0.110,0.667,0.780
121,2,1,1,1,1.000,1.150,0.120,1.000,0.833,0.180,0.533,0.600
121,2,1,1,1,1.000,1.200,0.090,1.000,0.767,0.140,0.667,0.480
121,2,1,1,1,1.000,1.317,0.100,1.000,0.767,0.120,0.533,0.600
121,2,1,1,1,1.000,1.150,0.090,1.000,0.833,0.120,0.667,0.600
1126,2,1,1,1,1.000,4.717,1.460,1.000,1.583,1.740,5.850,1.650
1126,2,1,1,1,1.000,4.283,1.460,1.000,1.400,1.650,5.850,2.140
1126,3,1,1,1,1.000,5.600,1.460,1.000,1.817,2.070,5.850,1.320
1126,3,1,1,1,1.000,4.283,1.220,1.000,1.583,1.780,3.600,1.320
1126,2,1,1,1,1.000,5.600,1.100,1.000,1.583,1.330,4.500,2.140
1126,2,1,1,1,1.000,4.717,1.100,1.000,1.400,1.650,4.500,1.320
1126,3,1,1,1,1.000,4.283,1.460,1.000,1.817,2.070,3.600,1.650
1126,2,1,1,1,1.000,4.283,1.100,1.000,1.817,1.370,4.500,1.650
1126,2,1,1,1,1.000,5.600,1.220,1.000,1.400,1.500,3.600,1.650
218,1,1,1,1,1.000,0.867,2.090,1.000,0.317,2.090,0.667,0.840
218,1,1,1,1,1.000,0.867,1.570,1.000,0.383,2.260,0.533,0.670
218,1,1,1,1,1.000,0.700,1.570,1.000,0.350,2.090,0.867,0.670
218,1,1,1,1,1.000,0.750,1.570,1.000,0.383,2.260,0.867,1.090
218,1,1,1,1,1.000,0.750,1.740,1.000,0.383,2.090,0.533,1.090
218,1,1,1,1,1.000,0.700,2.090,1.000,0.350,2.260,0.667,0.670
218,1,1,1,1,1.000,0.700,1.740,1.000,0.383,2.090,0.867,0.840
218,1,1,1,1,1.000,0.750,2.090,1.000,0.383,2.780,0.667,1.090
218,1,1,1,1,1.000,0.700,1.740,1.000,0.317,2.260,0.667,1.090
338,2,1,1,0,1.000,1.183,1.160,1.000,0.700,1.390,0.000,0.000
338,1,1,1,0,1.000,1.183,1.040,1.000,0.633,1.860,0.000,0.000
338,1,1,1,0,1.000,1.183,1.160,1.000,0.667,1.860,0.000,0.000
338,1,1,1,0,1.000,1.017,1.040,1.000,0.633,1.860,0.000,0.000
338,2,1,1,0,1.000,1.067,1.160,1.000,0.633,1.510,0.000,0.000
338,2,1,1,0,1.000,1.067,1.040,1.000,0.667,1.390,0.000,0.000
338,2,1,1,0,1.000,1.067,1.390,1.000,0.633,1.390,0.000,0.000
338,2,1,1,0,1.000,1.067,1.160,1.000,0.667,1.860,0.000,0.000
338,2,1,1,0,1.000,1.183,1.390,1.000,0.667,1.510,0.000,0.000
565,3,1,1,1,1.000,2.483,0.420,1.000,1.250,0.460,1.833,0.560
565,2,1,1,1,1.000,2.483,0.420,1.000,1.183,0.540,2.383,0.910
565,2,1,1,1,1.000,2.483,0.380,1.000,1.133,0.500,2.383,0.700
