ID,CHOICE,AV_TRAIN,AV_SM,AV_CAR,logt(TRAIN_TT) x ga_1,TRAIN_ASC_1,logt(TRAIN_CO)_1,logt(TRAIN_CO)_1,logt(TRAIN_CO) x purpose_1,logt(TRAIN_CO) x purpose_2,logt(TRAIN_CO) x ga_1,TRAIN_CO_1,logt(TRAIN_CO) x age_1,logt(TRAIN_CO) x age_2,logt(TRAIN_CO) x age_3,logt(TRAIN_CO) x age_4,TRAIN_CO x purpose_1,TRAIN_CO x purpose_2,logt(TRAIN_HE)_1,logt(SM_CO) x ga_1,logt(SM_CO) x purpose_1,logt(SM_CO) x purpose_2,logt(SM_CO)_1,logt(SM_TT)_1,SM_CO_1,SM_ASC x age_1,SM_ASC x age_2,SM_ASC x age_3,SM_ASC x age_4,SM_CO x purpose_1,SM_CO x purpose_2,logt(CAR_CO)_1,CAR_TT x ga_1,logt(CAR_TT) x purpose_1,logt(CAR_TT) x purpose_2,logt(CAR_CO) x age_1,logt(CAR_CO) x age_2,logt(CAR_CO) x age_3,logt(CAR_CO) x age_4,CAR_CO x purpose_1,CAR_CO x purpose_2,CAR_TT x age_1,CAR_TT x age_2,CAR_TT x age_3,CAR_TT x age_4
99,1,1,1,1,0.000,1.000,3.761,3.761,3.761,0.000,0.000,42.000,0.000,0.000,3.761,0.000,42.000,0.000,0.693,0.000,4.222,0.000,4.222,0.718,67.200,0.000,0.000,1.000,0.000,67.200,0.000,0.372,0.000,0.773,0.000,0.000,0.000,0.372,0.000,0.450,0.000,0.000,0.000,1.167,0.000
448,3,1,1,1,1.194,1.000,0.300,0.300,0.300,0.000,0.300,0.350,0.000,0.300,0.000,0.000,0.350,0.000,0.405,0.322,0.322,0.000,0.322,0.742,0.380,0.000,1.000,0.000,0.000,0.380,0.000,0.392,1.667,0.981,0.000,0.000,0.392,0.000,0.000,0.480,0.000,0.000,1.667,0.000,0.000
448,2,1,1,1,1.194,1.000,0.300,0.300,0.300,0.000,0.300,0.350,0.000,0.300,0.000,0.000,0.350,0.000,1.099,0.372,0.372,0.000,0.372,0.710,0.450,0.000,1.000,0.000,0.000,0.450,0.000,0.577,2.167,1.153,0.000,0.000,0.577,0.000,0.000,0.780,0.000,0.000,2.167,0.000,0.000
448,2,1,1,1,1.194,1.000,0.270,0.270,0.270,0.000,0.270,0.310,0.000,0.270,0.000,0.000,0.310,0.000,0.405,0.351,0.351,0.000,0.351,0.685,0.420,0.000,1.000,0.000,0.000,0.420,0.000,0.470,2.167,1.153,0.000,0.000,0.470,0.000,0.000,0.600,0.000,0.000,2.167,0.000,0.000
448,3,1,1,1,1.018,1.000,0.270,0.270,0.270,0.000,0.270,0.310,0.000,0.270,0.000,0.000,0.310,0.000,0.693,0.351,0.351,0.000,0.351,0.685,0.420,0.000,1.000,0.000,0.000,0.420,0.000,0.577,1.333,0.847,0.000,0.000,0.577,0.000,0.000,0.780,0.000,0.000,1.333,0.000,0.000
448,2,1,1,1,1.082,1.000,0.300,0.300,0.300,0.000,0.300,0.350,0.000,0.300,0.000,0.000,0.350,0.000,0.405,0.336,0.336,0.000,0.336,0.685,0.400,0.000,1.000,0.000,0.000,0.400,0.000,0.392,2.167,1.153,0.000,0.000,0.392,0.000,0.000,0.480,0.000,0.000,2.167,0.000,0.000
448,3,1,1,1,1.082,1.000,0.270,0.270,0.270,0.000,0.270,0.310,0.000,0.270,0.000,0.000,0.310,0.000,0.405,0.300,0.300,0.000,0.300,0.710,0.350,0.000,1.000,0.000,0.000,0.350,0.000,0.470,1.333,0.847,0.000,0.000,0.470,0.000,0.000,0.600,0.000,0.000,1.333,0.000,0.000
448,3,1,1,1,1.082,1.000,0.351,0.351,0.351,0.000,0.351,0.420,0.000,0.351,0.000,0.000,0.420,0.000,0.693,0.372,0.372,0.000,0.372,0.685,0.450,0.000,1.000,0.000,0.000,0.450,0.000,0.392,1.333,0.847,0.000,0.000,0.392,0.000,0.000,0.480,0.000,0.000,1.333,0.000,0.000
448,3,1,1,1,1.194,1.000,0.351,0.351,0.351,0.000,0.351,0.420,0.000,0.351,0.000,0.000,0.420,0.000,0.405,0.378,0.378,0.000,0.378,0.710,0.460,0.000,1.000,0.000,0.000,0.460,0.000,0.577,1.333,0.847,0.000,0.000,0.577,0.000,0.000,0.780,0.000,0.000,1.333,0.000,0.000
448,2,1,1,1,1.082,1.000,0.300,0.300,0.300,0.000,0.300,0.350,0.000,0.300,0.000,0.000,0.350,0.000,0.693,0.372,0.372,0.000,0.372,0.710,0.450,0.000,1.000,0.000,0.000,0.450,0.000,0.470,1.667,0.981,0.000,0.000,0.470,0.000,0.000,0.600,0.000,0.000,1.667,0.000,0.000
695,3,1,1,1,1.142,1.000,0.615,0.615,0.615,0.000,0.615,0.850,0.000,0.615,0.000,0.000,0.850,0.000,1.099,0.631,0.631,0.000,0.631,0.606,0.880,0.000,1.000,0.000,0.000,0.880,0.000,0.501,1.667,0.981,0.000,0.000,0.501,0.000,0.000,0.650,0.000,0.000,1.667,0.000,0.000
695,2,1,1,1,0.968,1.000,0.495,0.495,0.495,0.000,0.495,0.640,0.000,0.495,0.000,0.000,0.640,0.000,1.099,0.554,0.554,0.000,0.554,0.633,0.740,0.000,1.000,0.000,0.000,0.740,0.000,0.419,2.167,1.153,0.000,0.000,0.419,0.000,0.000,0.520,0.000,0.000,2.167,0.000,0.000
695,3,1,1,1,1.142,1.000,0.495,0.495,0.495,0.000,0.495,0.640,0.000,0.495,0.000,0.000,0.640,0.000,1.099,0.565,0.565,0.000,0.565,0.668,0.760,0.000,1.000,0.000,0.000,0.760,0.000,0.419,1.333,0.847,0.000,0.000,0.419,0.000,0.000,0.520,0.000,0.000,1.333,0.000,0.000
695,2,1,1,1,1.030,1.000,0.495,0.495,0.495,0.000,0.495,0.640,0.000,0.495,0.000,0.000,0.640,0.000,0.693,0.565,0.565,0.000,0.565,0.668,0.760,0.000,1.000,0.000,0.000,0.760,0.000,0.610,2.167,1.153,0.000,0.000,0.610,0.000,0.000,0.840,0.000,0.000,2.167,0.000,0.000
695,3,1,1,1,1.030,1.000,0.536,0.536,0.536,0.000,0.536,0.710,0.000,0.536,0.000,0.000,0.710,0.000,1.099,0.577,0.577,0.000,0.577,0.668,0.780,0.000,1.000,0.000,0.000,0.780,0.000,0.610,1.333,0.847,0.000,0.000,0.610,0.000,0.000,0.840,0.000,0.000,1.333,0.000,0.000
695,2,1,1,1,0.968,1.000,0.536,0.536,0.536,0.000,0.536,0.710,0.000,0.536,0.000,0.000,0.710,0.000,0.693,0.577,0.577,0.000,0.577,0.668,0.780,0.000,1.000,0.000,0.000,0.780,0.000,0.501,2.167,1.153,0.000,0.000,0.501,0.000,0.000,0.650,0.000,0.000,2.167,0.000,0.000
695,3,1,1,1,0.968,1.000,0.615,0.615,0.615,0.000,0.615,0.850,0.000,0.615,0.000,0.000,0.850,0.000,0.693,0.652,0.652,0.000,0.652,0.633,0.920,0.000,1.000,0.000,0.000,0.920,0.000,0.419,1.667,0.981,0.000,0.000,0.419,0.000,0.000,0.520,0.000,0.000,1.667,0.000,0.000
695,2,1,1,1,0.968,1.000,0.536,0.536,0.536,0.000,0.536,0.710,0.000,0.536,0.000,0.000,0.710,0.000,1.099,0.610,0.610,0.000,0.610,0.606,0.840,0.000,1.000,0.000,0.000,0.840,0.000,0.610,1.667,0.981,0.000,0.000,0.610,0.000,0.000,0.840,0.000,0.000,1.667,0.000,0.000
695,3,1,1,1,1.030,1.000,0.615,0.615,0.615,0.000,0.615,0.850,0.000,0.615,0.000,0.000,0.850,0.000,0.405,0.718,0.718,0.000,0.718,0.668,1.050,0.000,1.000,0.000,0.000,1.050,0.000,0.610,1.667,0.981,0.000,0.000,0.610,0.000,0.000,0.840,0.000,0.000,1.667,0.000,0.000
682,2,1,1,1,1.519,1.000,0.837,0.837,0.837,0.000,0.837,1.310,0.000,0.000,0.837,0.000,1.310,0.000,1.099,0.900,0.900,0.000,0.900,0.882,1.460,0.000,0.000,1.000,0.000,1.460,0.000,0.916,4.983,1.789,0.000,0.000,0.000,0.916,0.000,1.500,0.000,0.000,0.000,4.983,0.000
682,2,1,1,1,1.443,1.000,0.837,0.837,0.837,0.000,0.837,1.310,0.000,0.000,0.837,0.000,1.310,0.000,0.405,0.875,0.875,0.000,0.875,0.826,1.400,0.000,0.000,1.000,0.000,1.400,0.000,1.082,4.983,1.789,0.000,0.000,0.000,1.082,0.000,1.950,0.000,0.000,0.000,4.983,0.000
682,2,1,1,1,1.658,1.000,0.837,0.837,0.837,0.000,0.837,1.310,0.000,0.000,0.837,0.000,1.310,0.000,0.693,1.008,1.008,0.000,1.008,0.949,1.740,0.000,0.000,1.000,0.000,1.740,0.000,0.788,4.983,1.789,0.000,0.000,0.000,0.788,0.000,1.200,0.000,0.000,0.000,4.983,0.000
682,2,1,1,1,1.443,1.000,0.737,0.737,0.737,0.000,0.737,1.090,0.000,0.000,0.737,0.000,1.090,0.000,0.405,0.916,0.916,0.000,0.916,0.882,1.500,0.000,0.000,1.000,0.000,1.500,0.000,0.788,3.067,1.403,0.000,0.000,0.000,0.788,0.000,1.200,0.000,0.000,0.000,3.067,0.000
682,2,1,1,1,1.658,1.000,0.683,0.683,0.683,0.000,0.683,0.980,0.000,0.000,0.683,0.000,0.980,0.000,0.693,0.751,0.751,0.000,0.751,0.882,1.120,0.000,0.000,1.000,0.000,1.120,0.000,1.082,3.833,1.576,0.000,0.000,0.000,1.082,0.000,1.950,0.000,0.000,0.000,3.833,0.000
682,2,1,1,1,1.519,1.000,0.683,0.683,0.683,0.000,0.683,0.980,0.000,0.000,0.683,0.000,0.980,0.000,1.099,0.863,0.863,0.000,0.863,0.826,1.370,0.000,0.000,1.000,0.000,1.370,0.000,0.788,3.833,1.576,0.000,0.000,0.000,0.788,0.000,1.200,0.000,0.000,0.000,3.833,0.000
682,3,1,1,1,1.443,1.000,0.837,0.837,0.837,0.000,0.837,1.310,0.000,0.000,0.837,0.000,1.310,0.000,1.099,1.008,1.008,0.000,1.008,0.949,1.740,0.000,0.000,1.000,0.000,1.740,0.000,0.916,3.067,1.403,0.000,0.000,0.000,0.916,0.000,1.500,0.000,0.000,0.000,3.067,0.000
682,2,1,1,1,1.443,1.000,0.683,0.683,0.683,0.000,0.683,0.980,0.000,0.000,0.683,0.000,0.980,0.000,0.405,0.779,0.779,0.000,0.779,0.949,1.180,0.000,0.000,1.000,0.000,1.180,0.000,0.916,3.833,1.576,0.000,0.000,0.000,0.916,0.000,1.500,0.000,0.000,0.000,3.833,0.000
682,2,1,1,1,1.658,1.000,0.737,0.737,0.737,0.000,0.737,1.090,0.000,0.000,0.737,0.000,1.090,0.000,0.693,0.820,0.820,0.000,0.820,0.826,1.270,0.000,0.000,1.000,0.000,1.270,0.000,0.916,3.067,1.403,0.000,0.000,0.000,0.916,0.000,1.500,0.000,0.000,0.000,3.067,0.000
574,1,1,1,1,1.012,1.000,0.358,0.358,0.358,0.000,0.358,0.430,0.000,0.000,0.358,0.000,0.430,0.000,1.099,0.405,0.405,0.000,0.405,0.606,0.500,0.000,0.000,1.000,0.000,0.500,0.000,0.501,1.733,1.006,0.000,0.000,0.000,0.501,0.000,0.650,0.000,0.000,0.000,1.733,0.000
574,2,1,1,1,0.949,1.000,0.358,0.358,0.358,0.000,0.358,0.430,0.000,0.000,0.358,0.000,0.430,0.000,0.405,0.392,0.392,0.000,0.392,0.578,0.480,0.000,0.000,1.000,0.000,0.480,0.000,0.610,1.733,1.006,0.000,0.000,0.000,0.610,0.000,0.840,0.000,0.000,0.000,1.733,0.000
574,3,1,1,1,1.121,1.000,0.358,0.358,0.358,0.000,0.358,0.430,0.000,0.000,0.358,0.000,0.430,0.000,0.693,0.451,0.451,0.000,0.451,0.642,0.570,0.000,0.000,1.000,0.000,0.570,0.000,0.419,1.733,1.006,0.000,0.000,0.000,0.419,0.000,0.520,0.000,0.000,0.000,1.733,0.000
574,3,1,1,1,0.949,1.000,0.307,0.307,0.307,0.000,0.307,0.360,0.000,0.000,0.307,0.000,0.360,0.000,0.405,0.405,0.405,0.000,0.405,0.606,0.500,0.000,0.000,1.000,0.000,0.500,0.000,0.419,1.067,0.726,0.000,0.000,0.000,0.419,0.000,0.520,0.000,0.000,0.000,1.067,0.000
574,2,1,1,1,1.121,1.000,0.278,0.278,0.278,0.000,0.278,0.320,0.000,0.000,0.278,0.000,0.320,0.000,0.693,0.322,0.322,0.000,0.322,0.606,0.380,0.000,0.000,1.000,0.000,0.380,0.000,0.610,1.333,0.847,0.000,0.000,0.000,0.610,0.000,0.840,0.000,0.000,0.000,1.333,0.000
574,3,1,1,1,1.012,1.000,0.278,0.278,0.278,0.000,0.278,0.320,0.000,0.000,0.278,0.000,0.320,0.000,1.099,0.392,0.392,0.000,0.392,0.578,0.480,0.000,0.000,1.000,0.000,0.480,0.000,0.419,1.333,0.847,0.000,0.000,0.000,0.419,0.000,0.520,0.000,0.000,0.000,1.333,0.000
574,3,1,1,1,0.949,1.000,0.358,0.358,0.358,0.000,0.358,0.430,0.000,0.000,0.358,0.000,0.430,0.000,1.099,0.451,0.451,0.000,0.451,0.642,0.570,0.000,0.000,1.000,0.000,0.570,0.000,0.501,1.067,0.726,0.000,0.000,0.000,0.501,0.000,0.650,0.000,0.000,0.000,1.067,0.000
574,3,1,1,1,0.949,1.000,0.278,0.278,0.278,0.000,0.278,0.320,0.000,0.000,0.278,0.000,0.320,0.000,0.405,0.351,0.351,0.000,0.351,0.642,0.420,0.000,0.000,1.000,0.000,0.420,0.000,0.501,1.333,0.847,0.000,0.000,0.000,0.501,0.000,0.650,0.000,0.000,0.000,1.333,0.000
574,3,1,1,1,1.121,1.000,0.307,0.307,0.307,0.000,0.307,0.360,0.000,0.000,0.307,0.000,0.360,0.000,0.693,0.372,0.372,0.000,0.372,0.578,0.450,0.000,0.000,1.000,0.000,0.450,0.000,0.501,1.067,0.726,0.000,0.000,0.000,0.501,0.000,0.650,0.000,0.000,0.000,1.067,0.000
1107,2,1,1,1,1.519,1.000,0.131,0.131,0.000,0.000,0.131,0.140,0.000,0.000,0.000,0.131,0.000,0.000,1.099,0.131,0.000,0.000,0.131,1.099,0.140,0.000,0.000,0.000,1.000,0.000,0.000,0.668,2.167,0.000,0.000,0.000,0.000,0.000,0.668,0.000,0.000,0.000,0.000,0.000,2.167
1107,2,1,1,1,1.299,1.000,0.104,0.104,0.000,0.000,0.104,0.110,0.000,0.000,0.000,0.104,0.000,0.000,1.099,0.131,0.000,0.000,0.131,1.115,0.140,0.000,0.000,0.000,1.000,0.000,0.000,0.565,2.817,0.000,0.000,0.000,0.000,0.000,0.565,0.000,0.000,0.000,0.000,0.000,2.817
1107,2,1,1,1,1.519,1.000,0.104,0.104,0.000,0.000,0.104,0.110,0.000,0.000,0.000,0.104,0.000,0.000,1.099,0.140,0.000,0.000,0.140,1.137,0.150,0.000,0.000,0.000,1.000,0.000,0.000,0.565,1.733,0.000,0.000,0.000,0.000,0.000,0.565,0.000,0.000,0.000,0.000,0.000,1.733
1107,2,1,1,1,1.378,1.000,0.104,0.104,0.000,0.000,0.104,0.110,0.000,0.000,0.000,0.104,0.000,0.000,0.693,0.140,0.000,0.000,0.140,1.137,0.150,0.000,0.000,0.000,1.000,0.000,0.000,0.802,2.817,0.000,0.000,0.000,0.000,0.000,0.802,0.000,0.000,0.000,0.000,0.000,2.817
1107,2,1,1,1,1.378,1.000,0.113,0.113,0.000,0.000,0.113,0.120,0.000,0.000,0.000,0.113,0.000,0.000,1.099,0.131,0.000,0.000,0.131,1.137,0.140,0.000,0.000,0.000,1.000,0.000,0.000,0.802,1.733,0.000,0.000,0.000,0.000,0.000,0.802,0.000,0.000,0.000,0.000,0.000,1.733
1107,2,1,1,1,1.299,1.000,0.113,0.113,0.000,0.000,0.113,0.120,0.000,0.000,0.000,0.113,0.000,0.000,0.693,0.131,0.000,0.000,0.131,1.137,0.140,0.000,0.000,0.000,1.000,0.000,0.000,0.668,2.817,0.000,0.000,0.000,0.000,0.000,0.668,0.000,0.000,0.000,0.000,0.000,2.817
1107,2,1,1,1,1.299,1.000,0.131,0.131,0.000,0.000,0.131,0.140,0.000,0.000,0.000,0.131,0.000,0.000,0.693,0.140,0.000,0.000,0.140,1.115,0.150,0.000,0.000,0.000,1.000,0.000,0.000,0.565,2.167,0.000,0.000,0.000,0.000,0.000,0.565,0.000,0.000,0.000,0.000,0.000,2.167
1107,2,1,1,1,1.299,1.000,0.113,0.113,0.000,0.000,0.113,0.120,0.000,0.000,0.000,0.113,0.000,0.000,1.099,0.140,0.000,0.000,0.140,1.099,0.150,0.000,0.000,0.000,1.000,0.000,0.000,0.802,2.167,0.000,0.000,0.000,0.000,0.000,0.802,0.000,0.000,0.000,0.000,0.000,2.167
1107,2,1,1,1,1.378,1.000,0.131,0.131,0.000,0.000,0.131,0.140,0.000,0.000,0.000,0.131,0.000,0.000,0.405,0.174,0.000,0.000,0.174,1.137,0.190,0.000,0.000,0.000,1.000,0.000,0.000,0.802,2.167,0.000,0.000,0.000,0.000,0.000,0.802,0.000,0.000,0.000,0.000,0.000,2.167
744,3,1,1,1,1.018,1.000,0.542,0.542,0.542,0.000,0.542,0.720,0.000,0.000,0.542,0.000,0.720,0.000,1.099,0.577,0.577,0.000,0.577,0.449,0.780,0.000,0.000,1.000,0.000,0.780,0.000,0.470,1.500,0.916,0.000,0.000,0.000,0.470,0.000,0.600,0.000,0.000,0.000,1.500,0.000
