ID,CHOICE,AV_TRAIN,AV_SM,AV_CAR,TRAIN_ASC_1,logt(TRAIN_TT)_1,logt(TRAIN_TT) x ga_1,logt(TRAIN_CO)_1,logt(TRAIN_CO) x ga_1,logt(TRAIN_CO) x purpose_1,logt(TRAIN_CO) x purpose_2,logt(TRAIN_CO) x age_1,logt(TRAIN_CO) x age_2,logt(TRAIN_CO) x age_3,logt(TRAIN_CO) x age_4,logt(TRAIN_HE)_1,SM_ASC_1,SM_ASC x ga_1,SM_ASC x age_1,SM_ASC x age_2,SM_ASC x age_3,SM_ASC x age_4,logt(SM_TT)_1,logt(SM_CO)_1,logt(SM_CO) x ga_1,logt(SM_CO) x purpose_1,logt(SM_CO) x purpose_2,CAR_TT_1,CAR_TT x ga_1,CAR_TT x age_1,CAR_TT x age_2,CAR_TT x age_3,CAR_TT x age_4,CAR_TT x purpose_1,CAR_TT x purpose_2,logt(CAR_CO)_1,logt(CAR_CO) x age_1,logt(CAR_CO) x age_2,logt(CAR_CO) x age_3,logt(CAR_CO) x age_4,logt(CAR_CO) x purpose_1,logt(CAR_CO) x purpose_2
253,2,1,1,0,1.000,1.443,1.443,0.554,0.554,0.554,0.000,0.000,0.554,0.000,0.000,0.405,1.000,1.000,0.000,1.000,0.000,0.000,0.826,0.588,0.588,0.588,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
253,2,1,1,0,1.000,1.655,1.655,0.554,0.554,0.554,0.000,0.000,0.554,0.000,0.000,0.693,1.000,1.000,0.000,1.000,0.000,0.000,0.949,0.688,0.688,0.688,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
253,2,1,1,0,1.000,1.443,1.443,0.482,0.482,0.482,0.000,0.000,0.482,0.000,0.000,0.405,1.000,1.000,0.000,1.000,0.000,0.000,0.882,0.621,0.621,0.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
253,2,1,1,0,1.000,1.655,1.655,0.445,0.445,0.445,0.000,0.000,0.445,0.000,0.000,0.693,1.000,1.000,0.000,1.000,0.000,0.000,0.882,0.495,0.495,0.495,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
253,1,1,1,0,1.000,1.519,1.519,0.445,0.445,0.445,0.000,0.000,0.445,0.000,0.000,1.099,1.000,1.000,0.000,1.000,0.000,0.000,0.826,0.588,0.588,0.588,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
253,2,1,1,0,1.000,1.443,1.443,0.554,0.554,0.554,0.000,0.000,0.554,0.000,0.000,1.099,1.000,1.000,0.000,1.000,0.000,0.000,0.949,0.688,0.688,0.688,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
253,1,1,1,0,1.000,1.443,1.443,0.445,0.445,0.445,0.000,0.000,0.445,0.000,0.000,0.405,1.000,1.000,0.000,1.000,0.000,0.000,0.949,0.507,0.507,0.507,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
253,2,1,1,0,1.000,1.655,1.655,0.482,0.482,0.482,0.000,0.000,0.482,0.000,0.000,0.693,1.000,1.000,0.000,1.000,0.000,0.000,0.826,0.542,0.542,0.542,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
99,2,1,1,1,1.000,1.184,0.000,3.761,0.000,3.761,0.000,0.000,0.000,3.761,0.000,0.405,1.000,0.000,0.000,0.000,1.000,0.000,0.750,3.940,0.000,3.940,0.000,1.167,0.000,0.000,0.000,1.167,0.000,1.167,0.000,0.307,0.000,0.000,0.307,0.000,0.307,0.000
99,1,1,1,1,1.000,1.184,0.000,3.658,0.000,3.658,0.000,0.000,0.000,3.658,0.000,0.405,1.000,0.000,0.000,0.000,1.000,0.000,0.693,4.222,0.000,4.222,0.000,1.517,0.000,0.000,0.000,1.517,0.000,1.517,0.000,0.372,0.000,0.000,0.372,0.000,0.372,0.000
99,1,1,1,1,1.000,1.184,0.000,3.761,0.000,3.761,0.000,0.000,0.000,3.761,0.000,1.099,1.000,0.000,0.000,0.000,1.000,0.000,0.718,4.222,0.000,4.222,0.000,1.517,0.000,0.000,0.000,1.517,0.000,1.517,0.000,0.457,0.000,0.000,0.457,0.000,0.457,0.000
99,1,1,1,1,1.000,1.018,0.000,3.658,0.000,3.658,0.000,0.000,0.000,3.658,0.000,0.693,1.000,0.000,0.000,0.000,1.000,0.000,0.693,4.222,0.000,4.222,0.000,0.933,0.000,0.000,0.000,0.933,0.000,0.933,0.000,0.457,0.000,0.000,0.457,0.000,0.457,0.000
99,2,1,1,1,1.000,1.076,0.000,3.761,0.000,3.761,0.000,0.000,0.000,3.761,0.000,0.405,1.000,0.000,0.000,0.000,1.000,0.000,0.693,4.018,0.000,4.018,0.000,1.517,0.000,0.000,0.000,1.517,0.000,1.517,0.000,0.307,0.000,0.000,0.307,0.000,0.307,0.000
99,2,1,1,1,1.000,1.076,0.000,3.940,0.000,3.940,0.000,0.000,0.000,3.940,0.000,0.693,1.000,0.000,0.000,0.000,1.000,0.000,0.693,3.940,0.000,3.940,0.000,0.933,0.000,0.000,0.000,0.933,0.000,0.933,0.000,0.307,0.000,0.000,0.307,0.000,0.307,0.000
99,2,1,1,1,1.000,1.076,0.000,3.658,0.000,3.658,0.000,0.000,0.000,3.658,0.000,0.405,1.000,0.000,0.000,0.000,1.000,0.000,0.718,3.940,0.000,3.940,0.000,0.933,0.000,0.000,0.000,0.933,0.000,0.933,0.000,0.372,0.000,0.000,0.372,0.000,0.372,0.000
99,2,1,1,1,1.000,1.184,0.000,3.940,0.000,3.940,0.000,0.000,0.000,3.940,0.000,0.405,1.000,0.000,0.000,0.000,1.000,0.000,0.718,4.018,0.000,4.018,0.000,0.933,0.000,0.000,0.000,0.933,0.000,0.933,0.000,0.457,0.000,0.000,0.457,0.000,0.457,0.000
99,1,1,1,1,1.000,1.076,0.000,3.761,0.000,3.761,0.000,0.000,0.000,3.761,0.000,0.693,1.000,0.000,0.000,0.000,1.000,0.000,0.718,4.222,0.000,4.222,0.000,1.167,0.000,0.000,0.000,1.167,0.000,1.167,0.000,0.372,0.000,0.000,0.372,0.000,0.372,0.000
448,3,1,1,1,1.000,1.194,1.194,0.300,0.300,0.300,0.000,0.000,0.300,0.000,0.000,0.405,1.000,1.000,0.000,1.000,0.000,0.000,0.742,0.322,0.322,0.322,0.000,1.667,1.667,0.000,1.667,0.000,0.000,1.667,0.000,0.392,0.000,0.392,0.000,0.000,0.392,0.000
448,2,1,1,1,1.000,1.194,1.194,0.300,0.300,0.300,0.000,0.000,0.300,0.000,0.000,1.099,1.000,1.000,0.000,1.000,0.000,0.000,0.710,0.372,0.372,0.372,0.000,2.167,2.167,0.000,2.167,0.000,0.000,2.167,0.000,0.577,0.000,0.577,0.000,0.000,0.577,0.000
448,2,1,1,1,1.000,1.194,1.194,0.270,0.270,0.270,0.000,0.000,0.270,0.000,0.000,0.405,1.000,1.000,0.000,1.000,0.000,0.000,0.685,0.351,0.351,0.351,0.000,2.167,2.167,0.000,2.167,0.000,0.000,2.167,0.000,0.470,0.000,0.470,0.000,0.000,0.470,0.000
448,3,1,1,1,1.000,1.018,1.018,0.270,0.270,0.270,0.000,0.000,0.270,0.000,0.000,0.693,1.000,1.000,0.000,1.000,0.000,0.000,0.685,0.351,0.351,0.351,0.000,1.333,1.333,0.000,1.333,0.000,0.000,1.333,0.000,0.577,0.000,0.577,0.000,0.000,0.577,0.000
448,2,1,1,1,1.000,1.082,1.082,0.300,0.300,0.300,0.000,0.000,0.300,0.000,0.000,0.405,1.000,1.000,0.000,1.000,0.000,0.000,0.685,0.336,0.336,0.336,0.000,2.167,2.167,0.000,2.167,0.000,0.000,2.167,0.000,0.392,0.000,0.392,0.000,0.000,0.392,0.000
448,3,1,1,1,1.000,1.082,1.082,0.270,0.270,0.270,0.000,0.000,0.270,0.000,0.000,0.405,1.000,1.000,0.000,1.000,0.000,0.000,0.710,0.300,0.300,0.300,0.000,1.333,1.333,0.000,1.333,0.000,0.000,1.333,0.000,0.470,0.000,0.470,0.000,0.000,0.470,0.000
448,3,1,1,1,1.000,1.082,1.082,0.351,0.351,0.351,0.000,0.000,0.351,0.000,0.000,0.693,1.000,1.000,0.000,1.000,0.000,0.000,0.685,0.372,0.372,0.372,0.000,1.333,1.333,0.000,1.333,0.000,0.000,1.333,0.000,0.392,0.000,0.392,0.000,0.000,0.392,0.000
448,3,1,1,1,1.000,1.194,1.194,0.351,0.351,0.351,0.000,0.000,0.351,0.000,0.000,0.405,1.000,1.000,0.000,1.000,0.000,0.000,0.710,0.378,0.378,0.378,0.000,1.333,1.333,0.000,1.333,0.000,0.000,1.333,0.000,0.577,0.000,0.577,0.000,0.000,0.577,0.000
448,2,1,1,1,1.000,1.082,1.082,0.300,0.300,0.300,0.000,0.000,0.300,0.000,0.000,0.693,1.000,1.000,0.000,1.000,0.000,0.000,0.710,0.372,0.372,0.372,0.000,1.667,1.667,0.000,1.667,0.000,0.000,1.667,0.000,0.470,0.000,0.470,0.000,0.000,0.470,0.000
695,3,1,1,1,1.000,1.142,1.142,0.615,0.615,0.615,0.000,0.000,0.615,0.000,0.000,1.099,1.000,1.000,0.000,1.000,0.000,0.000,0.606,0.631,0.631,0.631,0.000,1.667,1.667,0.000,1.667,0.000,0.000,1.667,0.000,0.501,0.000,0.501,0.000,0.000,0.501,0.000
695,2,1,1,1,1.000,0.968,0.968,0.495,0.495,0.495,0.000,0.000,0.495,0.000,0.000,1.099,1.000,1.000,0.000,1.000,0.000,0.000,0.633,0.554,0.554,0.554,0.000,2.167,2.167,0.000,2.167,0.000,0.000,2.167,0.000,0.419,0.000,0.419,0.000,0.000,0.419,0.000
695,3,1,1,1,1.000,1.142,1.142,0.495,0.495,0.495,0.000,0.000,0.495,0.000,0.000,1.099,1.000,1.000,0.000,1.000,0.000,0.000,0.668,0.565,0.565,0.565,0.000,1.333,1.333,0.000,1.333,0.000,0.000,1.333,0.000,0.419,0.000,0.419,0.000,0.000,0.419,0.000
695,2,1,1,1,1.000,1.030,1.030,0.495,0.495,0.495,0.000,0.000,0.495,0.000,0.000,0.693,1.000,1.000,0.000,1.000,0.000,0.000,0.668,0.565,0.565,0.565,0.000,2.167,2.167,0.000,2.167,0.000,0.000,2.167,0.000,0.610,0.000,0.610,0.000,0.000,0.610,0.000
695,3,1,1,1,1.000,1.030,1.030,0.536,0.536,0.536,0.000,0.000,0.536,0.000,0.000,1.099,1.000,1.000,0.000,1.000,0.000,0.000,0.668,0.577,0.577,0.577,0.000,1.333,1.333,0.000,1.333,0.000,0.000,1.333,0.000,0.610,0.000,0.610,0.000,0.000,0.610,0.000
695,2,1,1,1,1.000,0.968,0.968,0.536,0.536,0.536,0.000,0.000,0.536,0.000,0.000,0.693,1.000,1.000,0.000,1.000,0.000,0.000,0.668,0.577,0.577,0.577,0.000,2.167,2.167,0.000,2.167,0.000,0.000,2.167,0.000,0.501,0.000,0.501,0.000,0.000,0.501,0.000
695,3,1,1,1,1.000,0.968,0.968,0.615,0.615,0.615,0.000,0.000,0.615,0.000,0.000,0.693,1.000,1.000,0.000,1.000,0.000,0.000,0.633,0.652,0.652,0.652,0.000,1.667,1.667,0.000,1.667,0.000,0.000,1.667,0.000,0.419,0.000,0.419,0.000,0.000,0.419,0.000
695,2,1,1,1,1.000,0.968,0.968,0.536,0.536,0.536,0.000,0.000,0.536,0.000,0.000,1.099,1.000,1.000,0.000,1.000,0.000,0.000,0.606,0.610,0.610,0.610,0.000,1.667,1.667,0.000,1.667,0.000,0.000,1.667,0.000,0.610,0.000,0.610,0.000,0.000,0.610,0.000
695,3,1,1,1,1.000,1.030,1.030,0.615,0.615,0.615,0.000,0.000,0.615,0.000,0.000,0.405,1.000,1.000,0.000,1.000,0.000,0.000,0.668,0.718,0.718,0.718,0.000,1.667,1.667,0.000,1.667,0.000,0.000,1.667,0.000,0.610,0.000,0.610,0.000,0.000,0.610,0.000
682,2,1,1,1,1.000,1.519,1.519,0.837,0.837,0.837,0.000,0.000,0.000,0.837,0.000,1.099,1.000,1.000,0.000,0.000,1.000,0.000,0.882,0.900,0.900,0.900,0.000,4.983,4.983,0.000,0.000,4.983,0.000,4.983,0.000,0.916,0.000,0.000,0.916,0.000,0.916,0.000
682,2,1,1,1,1.000,1.443,1.443,0.837,0.837,0.837,0.000,0.000,0.000,0.837,0.000,0.405,1.000,1.000,0.000,0.000,1.000,0.000,0.826,0.875,0.875,0.875,0.000,4.983,4.983,0.000,0.000,4.983,0.000,4.983,0.000,1.082,0.000,0.000,1.082,0.000,1.082,0.000
682,2,1,1,1,1.000,1.658,1.658,0.837,0.837,0.837,0.000,0.000,0.000,0.837,0.000,0.693,1.000,1.000,0.000,0.000,1.000,0.000,0.949,1.008,1.008,1.008,0.000,4.983,4.983,0.000,0.000,4.983,0.000,4.983,0.000,0.788,0.000,0.000,0.788,0.000,0.788,0.000
682,2,1,1,1,1.000,1.443,1.443,0.737,0.737,0.737,0.000,0.000,0.000,0.737,0.000,0.405,1.000,1.000,0.000,0.000,1.000,0.000,0.882,0.916,0.916,0.916,0.000,3.067,3.067,0.000,0.000,3.067,0.000,3.067,0.000,0.788,0.000,0.000,0.788,0.000,0.788,0.000
682,2,1,1,1,1.000,1.658,1.658,0.683,0.683,0.683,0.000,0.000,0.000,0.683,0.000,0.693,1.000,1.000,0.000,0.000,1.000,0.000,0.882,0.751,0.751,0.751,0.000,3.833,3.833,0.000,0.000,3.833,0.000,3.833,0.000,1.082,0.000,0.000,1.082,0.000,1.082,0.000
682,2,1,1,1,1.000,1.519,1.519,0.683,0.683,0.683,0.000,0.000,0.000,0.683,0.000,1.099,1.000,1.000,0.000,0.000,1.000,0.000,0.826,0.863,0.863,0.863,0.000,3.833,3.833,0.000,0.000,3.833,0.000,3.833,0.000,0.788,0.000,0.000,0.788,0.000,0.788,0.000
682,3,1,1,1,1.000,1.443,1.443,0.837,0.837,0.837,0.000,0.000,0.000,0.837,0.000,1.099,1.000,1.000,0.000,0.000,1.000,0.000,0.949,1.008,1.008,1.008,0.000,3.067,3.067,0.000,0.000,3.067,0.000,3.067,0.000,0.916,0.000,0.000,0.916,0.000,0.916,0.000
682,2,1,1,1,1.000,1.443,1.443,0.683,0.683,0.683,0.000,0.000,0.000,0.683,0.000,0.405,1.000,1.000,0.000,0.000,1.000,0.000,0.949,0.779,0.779,0.779,0.000,3.833,3.833,0.000,0.000,3.833,0.000,3.833,0.000,0.916,0.000,0.000,0.916,0.000,0.916,0.000
682,2,1,1,1,1.000,1.658,1.658,0.737,0.737,0.737,0.000,0.000,0.000,0.737,0.000,0.693,1.000,1.000,0.000,0.000,1.000,0.000,0.826,0.820,0.820,0.820,0.000,3.067,3.067,0.000,0.000,3.067,0.000,3.067,0.000,0.916,0.000,0.000,0.916,0.000,0.916,0.000
574,1,1,1,1,1.000,1.012,1.012,0.358,0.358,0.358,0.000,0.000,0.000,0.358,0.000,1.099,1.000,1.000,0.000,0.000,1.000,0.000,0.606,0.405,0.405,0.405,0.000,1.733,1.733,0.000,0.000,1.733,0.000,1.733,0.000,0.501,0.000,0.000,0.501,0.000,0.501,0.000
574,2,1,1,1,1.000,0.949,0.949,0.358,0.358,0.358,0.000,0.000,0.000,0.358,0.000,0.405,1.000,1.000,0.000,0.000,1.000,0.000,0.578,0.392,0.392,0.392,0.000,1.733,1.733,0.000,0.000,1.733,0.000,1.733,0.000,0.610,0.000,0.000,0.610,0.000,0.610,0.000
574,3,1,1,1,1.000,1.121,1.121,0.358,0.358,0.358,0.000,0.000,0.000,0.358,0.000,0.693,1.000,1.000,0.000,0.000,1.000,0.000,0.642,0.451,0.451,0.451,0.000,1.733,1.733,0.000,0.000,1.733,0.000,1.733,0.000,0.419,0.000,0.000,0.419,0.000,0.419,0.000
574,3,1,1,1,1.000,0.949,0.949,0.307,0.307,0.307,0.000,0.000,0.000,0.307,0.000,0.405,1.000,1.000,0.000,0.000,1.000,0.000,0.606,0.405,0.405,0.405,0.000,1.067,1.067,0.000,0.000,1.067,0.000,1.067,0.000,0.419,0.000,0.000,0.419,0.000,0.419,0.000
574,2,1,1,1,1.000,1.121,1.121,0.278,0.278,0.278,0.000,0.000,0.000,0.278,0.000,0.693,1.000,1.000,0.000,0.000,1.000,0.000,0.606,0.322,0.322,0.322,0.000,1.333,1.333,0.000,0.000,1.333,0.000,1.333,0.000,0.610,0.000,0.000,0.610,0.000,0.610,0.000
574,3,1,1,1,1.000,1.012,1.012,0.278,0.278,0.278,0.000,0.000,0.000,0.278,0.000,1.099,1.000,1.000,0.000,0.000,1.000,0.000,0.578,0.392,0.392,0.392,0.000,1.333,1.333,0.000,0.000,1.333,0.000,1.333,0.000,0.419,0.000,0.000,0.419,0.000,0.419,0.000
574,3,1,1,1,1.000,0.949,0.949,0.358,0.358,0.358,0.000,0.000,0.000,0.358,0.000,1.099,1.000,1.000,0.000,0.000,1.000,0.000,0.642,0.451,0.451,0.451,0.000,1.067,1.067,0.000,0.000,1.067,0.000,1.067,0.000,0.501,0.000,0.000,0.501,0.000,0.501,0.000
574,3,1,1,1,1.000,0.949,0.949,0.278,0.278,0.278,0.000,0.000,0.000,0.278,0.000,0.405,1.000,1.000,0.000,0.000,1.000,0.000,0.642,0.351,0.351,0.351,0.000,1.333,1.333,0.000,0.000,1.333,0.000,1.333,0.000,0.501,0.000,0.000,0.501,0.000,0.501,0.000
574,3,1,1,1,1.000,1.121,1.121,0.307,0.307,0.307,0.000,0.000,0.000,0.307,0.000,0.693,1.000,1.000,0.000,0.000,1.000,0.000,0.578,0.372,0.372,0.372,0.000,1.067,1.067,0.000,0.000,1.067,0.000,1.067,0.000,0.501,0.000,0.000,0.501,0.000,0.501,0.000
1107,2,1,1,1,1.000,1.519,1.519,0.131,0.131,0.000,0.000,0.000,0.000,0.000,0.131,1.099,1.000,1.000,0.000,0.000,0.000,1.000,1.099,0.131,0.131,0.000,0.000,2.167,2.167,0.000,0.000,0.000,2.167,0.000,0.000,0.668,0.000,0.000,0.000,0.668,0.000,0.000
1107,2,1,1,1,1.000,1.299,1.299,0.104,0.104,0.000,0.000,0.000,0.000,0.000,0.104,1.099,1.000,1.000,0.000,0.000,0.000,1.000,1.115,0.131,0.131,0.000,0.000,2.817,2.817,0.000,0.000,0.000,2.817,0.000,0.000,0.565,0.000,0.000,0.000,0.565,0.000,0.000
1107,2,1,1,1,1.000,1.519,1.519,0.104,0.104,0.000,0.000,0.000,0.000,0.000,0.104,1.099,1.000,1.000,0.000,0.000,0.000,1.000,1.137,0.140,0.140,0.000,0.000,1.733,1.733,0.000,0.000,0.000,1.733,0.000,0.000,0.565,0.000,0.000,0.000,0.565,0.000,0.000
1107,2,1,1,1,1.000,1.378,1.378,0.104,0.104,0.000,0.000,0.000,0.000,0.000,0.104,0.693,1.000,1.000,0.000,0.000,0.000,1.000,1.137,0.140,0.140,0.000,0.000,2.817,2.817,0.000,0.000,0.000,2.817,0.000,0.000,0.802,0.000,0.000,0.000,0.802,0.000,0.000
1107,2,1,1,1,1.000,1.378,1.378,0.113,0.113,0.000,0.000,0.000,0.000,0.000,0.113,1.099,1.000,1.000,0.000,0.000,0.000,1.000,1.137,0.131,0.131,0.000,0.000,1.733,1.733,0.000,0.000,0.000,1.733,0.000,0.000,0.802,0.000,0.000,0.000,0.802,0.000,0.000
1107,2,1,1,1,1.000,1.299,1.299,0.113,0.113,0.000,0.000,0.000,0.000,0.000,0.113,0.693,1.000,1.000,0.000,0.000,0.000,1.000,1.137,0.131,0.131,0.000,0.000,2.817,2.817,0.000,0.000,0.000,2.817,0.000,0.000,0.668,0.000,0.000,0.000,0.668,0.000,0.000
1107,2,1,1,1,1.000,1.299,1.299,0.131,0.131,0.000,0.000,0.000,0.000,0.000,0.131,0.693,1.000,1.000,0.000,0.000,0.000,1.000,1.115,0.140,0.140,0.000,0.000,2.167,2.167,0.000,0.000,0.000,2.167,0.000,0.000,0.565,0.000,0.000,0.000,0.565,0.000,0.000
1107,2,1,1,1,1.000,1.299,1.299,0.113,0.113,0.000,0.000,0.000,0.000,0.000,0.113,1.099,1.000,1.000,0.000,0.000,0.000,1.000,1.099,0.140,0.140,0.000,0.000,2.167,2.167,0.000,0.000,0.000,2.167,0.000,0.000,0.802,0.000,0.000,0.000,0.802,0.000,0.000
1107,2,1,1,1,1.000,1.378,1.378,0.131,0.131,0.000,0.000,0.000,0.000,0.000,0.131,0.405,1.000,1.000,0.000,0.000,0.000,1.000,1.137,0.174,0.174,0.000,0.000,2.167,2.167,0.000,0.000,0.000,2.167,0.000,0.000,0.802,0.000,0.000,0.000,0.802,0.000,0.000
744,3,1,1,1,1.000,1.018,1.018,0.542,0.542,0.542,0.000,0.000,0.000,0.542,0.000,1.099,1.000,1.000,0.000,0.000,1.000,0.000,0.449,0.577,0.577,0.577,0.000,1.500,1.500,0.000,0.000,1.500,0.000,1.500,0.000,0.470,0.000,0.000,0.470,0.000,0.470,0.000
744,2,1,1,1,1.000,0.882,0.882,0.432,0.432,0.432,0.000,0.000,0.000,0.432,0.000,1.099,1.000,1.000,0.000,0.000,1.000,0.000,0.480,0.501,0.501,0.501,0.000,1.950,1.950,0.000,0.000,1.950,0.000,1.950,0.000,0.392,0.000,0.000,0.392,0.000,0.392,0.000
744,3,1,1,1,1.000,1.018,1.018,0.432,0.432,0.432,0.000,0.000,0.000,0.432,0.000,1.099,1.000,1.000,0.000,0.000,1.000,0.000,0.521,0.519,0.519,0.519,0.000,1.200,1.200,0.000,0.000,1.200,0.000,1.200,0.000,0.392,0.000,0.000,0.392,0.000,0.392,0.000
744,1,1,1,1,1.000,0.930,0.930,0.432,0.432,0.432,0.000,0.000,0.000,0.432,0.000,0.693,1.000,1.000,0.000,0.000,1.000,0.000,0.521,0.519,0.519,0.519,0.000,1.950,1.950,0.000,0.000,1.950,0.000,1.950,0.000,0.577,0.000,0.000,0.577,0.000,0.577,0.000
744,2,1,1,1,1.000,0.930,0.930,0.470,0.470,0.470,0.000,0.000,0.000,0.470,0.000,1.099,1.000,1.000,0.000,0.000,1.000,0.000,0.521,0.536,0.536,0.536,0.000,1.200,1.200,0.000,0.000,1.200,0.000,1.200,0.000,0.577,0.000,0.000,0.577,0.000,0.577,0.000
744,1,1,1,1,1.000,0.882,0.882,0.470,0.470,0.470,0.000,0.000,0.000,0.470,0.000,0.693,1.000,1.000,0.000,0.000,1.000,0.000,0.521,0.536,0.536,0.536,0.000,1.950,1.950,0.000,0.000,1.950,0.000,1.950,0.000,0.470,0.000,0.000,0.470,0.000,0.470,0.000
744,2,1,1,1,1.000,0.882,0.882,0.542,0.542,0.542,0.000,0.000,0.000,0.542,0.000,0.693,1.000,1.000,0.000,0.000,1.000,0.000,0.480,0.610,0.610,0.610,0.000,1.500,1.500,0.000,0.000,1.500,0.000,1.500,0.000,0.392,0.000,0.000,0.392,0.000,0.392,0.000
